ID,Active,Reference,Mammals Dermal LD50 mg/kg,Mammals dermal <>,Quality Barometer - Mammals Dermal,Mammals Inhalation LC50 mg/l,Mammals Inhalation <>,Quality Barometer - Mammals Inhalation,WHO Classification,CLP classification 2013,CLP classification precautionary statements,EC Risk Classification,EC Safety Classification,General human health issues,Genotoxic?,Carcinogen?,Endocrine distrupter?,Reproduction/development effects?,Acetyl cholinesterase inhibitor?,Neurotoxicant?,Respiratory tract irritant?,Skin irritant,Eye irritant,Handling issues,Acceptable Daily Intake (ADI) mg/kg bw,Quality Barometer - ADI,ARfD mg/kg BW/day,Quality Barometer - ARfD,Acceptable Operator Exposure Level (AOEL) Systemic,Quality Barometer - AOEL,Percutaneous Penetration study %,Quality Barometer - Percutaneous Penetration,Dangerous Substances Directive 76/464,Exposure Routes - Public,Exposure Routes - Occupational,Examples of European MRLs  mg/Kg,MRL Comments,Drinking Water MAC ug/l,MAC ref
"780","ethiofencarb sulfone",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"781","1-(2-ethoxyphenoxysulfonyl)-3-(6-hydroxy-4-methoxypyrimidin-2-yl)-urea","AE-F126663",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"782","1-(2-ethoxyphenoxysulfonyl)-3-guanylurea or 3-amidino-1(2-ethoxyphenoxysulfonyl)-urea)","AE-F136086",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"783","2-amino-4,6-dimethoxypyrimidine","AE-F092944",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C3; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"784","6-ethoxy-2-ethyl-4-hydroxypyrimidine",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"785","alpha-hydroxy-alpha-methyl-4-phenoxybenzene acetic acid","IN-JS940",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"786","5-[4-(4-hydroxyphenoxy)phenyl-5-methyl-3-(phenylamino)-2,4-oxazolidine dione","IN-KZ007",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"787","(S)-5-methyl-5-phenylimidazolidine-2,4-dione","RPA 412636",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"788","(S)-5-methyl-2-methylthio-3-(2-nitrophenylamino)-5-phenyl-3,5-dihydroimidazol-4-one","RPA 413255",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"789","(S)-5-methyl-2-methylthio-5-phenyl-3,5-dihydroimidazol-4-one","RPA 412708",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"790","fenamiphos sulfoxide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"848","trans-5-(4-chlorophenyl)-4-methyl-2-oxothiazolidine-3-carboximide","PT-1-2",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"849","trans-5-(4-chlorophenyl)-4-methyl-2-oxothiazolidine","PT-1-3",,,,,,,"NL","[Health: H302]",,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"850","5-methyl-2-(3H)-oxazolone",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"851","1-(2,4-dichlorophenyl)2-imidazol-1-ylethanol","R014821",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"852","2-(4,5-dihydro-4-methyl-4-(1-methylethyl)-5-oxo-1H-imidazol-2-yl)-3,5,pyridinecarboxylic acid","CL-312622",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"853","5-hydroxy-6-((4RS)-4-isopropyl-4-methyl-5-oxo-4,5-dihydro-1H-imidazol-2-yl)nicotinic acid","CL-354825",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"854","6-chloronicotinic acid",,,,,,,,"NL","[Health: H315, H319, H335]","[P261, P305 + P351 + P338]","[Xi - Irritant: R36/37/38]","[S26-36]","[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","Yes","Yes","Yes","[No information available]",,,,,,,,,,,,,,,
"855","methyl-7-chloro-2,5-dihydro-2-(((trifluoromethoxy)phenyl)amino)carbonyl(indeno(1,3,4)oxadiazine-4a(3H)-carboxylate","IN-JT333",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"949","pentachloroaniline",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"950","pentachlorobenzene",,,,,,,,"NL",,,,,"[Liver and kidney toxicant]","A0; B0; C0; D0; E0","No data","No data","No data","No data","Yes","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"952","benzaldehyde",,,,,,,,"NL","[Health: H302]",,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,"[Potential exposure via diet]",,,,,
"953","benzyl alcohol",,,,,,,,"NL","[Health: H302, H332]",,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1005","chlorobenzoxazolone","AE-F054014","170",,"Q2 Mouse",,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1006","fenoxaprop","HOE 053022",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1007","methyl 2-(dimethylamino)-N-(((methylamino)carbonyl)oxy)-2-oxoethanimidothioate","IN-A2213",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1008","N,N’-dimethyloxamic acid","IN-D2708",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1009","2-chloro-4-methylsulfonyl-benzoic acid",,,,,,,,"NL",,,"[Xn - Harmful: R41]",,"[No further information available]","A3; B0; C3; D0; E0","No data","No data","No data","No data","No data","No data","Yes","Yes","[No information available]","0.2","A5 Rat, SF=1000",,,,,,,,,,,,,
"1012","N-(2-ethoxyethyl)-N-(2-methyl-1-phenyl-1-propenyl)-2-sulfoacetamide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1013","sulfosulfuron sulfonamide","MON 52729",,,,,,,"NL",,,,,"[No information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","Possible","Possible","Possible","[No information available]",,,,,,,,,,,,,,,
"1015","2-propoxy-3-propylquinazolin-4(3H)-one","IN-MM671",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1030","oxanilic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1031","metolachlor ethane sulfonic acid","CGA 354743","2000",">","A5 Rat",,,,"NL",,,,,"[No information available]","A0; B0; C0; D0; E3","No data","No data","No data","No","No data","No data","No","No data","[No information available]",,,,,,,,,,,,,,,
"1035","2-((aminosulfonyl)methyl)benzoic acid","IN-D1R84",,,,,,,"NL",,,,,"[No information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1037","2-(2,4-dichlorophenyl)-3-(1H-1,2,4-triazol-1-yl)propanoic acid","M14360-acid",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1038","2-(2,4-dichlorophenyl)-3-(1H-1,2,4-triazol-1-yl)propan-1-ol","M14360-alcohol",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1039","1H-1,2,4-triazol-1-ylacetic acid","CGA 142856",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1040","6-fluoro-2-hydroxybenzothiazole","KIF-230-M1",,,,,,,"NL",,,,,"[Moderately toxic]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1041","1-(6-fluoro-2-benzothiazol-2-yl)ethanol","KIF-230-M3",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1042","1-(6-fluoro-2-benzothiazolyl)ethylamine","KIF-230-M5",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1043","1-(2-(2-chloro-4-(4-chloro-phenoxy)-phenyl)-2-1H-(1,2,4)triazol-yl)-ethanol","CGA 205375",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1044","N-(2,6-dimethylphenyl)-N-(2-methoxyethyl)oxalamic acid","CGA 50266",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1045","((2,6-dimethylphenyl)-2-methoxyethyl)carbamoyl)methanesulfonic acid sodium salt","CGA 354742",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1047","3-(2,4-dichlorophenyl)-4-hydroxy-1-oxaspiro(4.5)dec-3-en-2-one",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1048","3-(2,4-dichlorophenyl)-3-hydroxy-1-oxaspiro(4.5)decane-2,4-dione",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1049","3-(2,4-dichlorophenyl)-3,4-dihydroxy-1-oxaspiro(4.5)decan-2-one",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1050","2,4-dichlorobenzoic acid",,,,,,,,"NL","[Health: H302, H315, H319, H335]",,"[Xn - Harmful: R22], [Xi - Irritant: R36/37/38]","[S26, S36]","[No further information available]","A0; B0; C0; D0; E0","No data","No data","Possible","No data","No data","Yes","Yes","Yes","[No information available]",,,,,,,,,,,,,,,
"1051","4-hydroxy-3-mesityl-1-oxaspiro(4.4)non-3-en-2-one",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1052","4-(8-hydroxy-6-oxo-5-oxaspiro[3.4]oct-7-en-7-yl)-3,5-dimethylbenzoic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1053","(2,5-dichloro-4-(1,1,2,3,3,3-hexafluoro-propoxy)-phenyl)-urea","CGA 238277",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1054","2,5-dichloro-4-(1,1,2,3,3,3-hexafluoro-propoxy)-phenylamine","CGA 224443",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1055","dichloroetridiazole",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1056","etridiazole acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1057","anilino acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1058","haloaniline",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1059","7-chloro-3,8-quinoline dicarboxylic acid","BH 518-2",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1060","3-hydroxymethyl-7-chloro-quinoline-8-carboxylic acid","BH 518-5",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1072","1-ethyl 5,6-di-2,4(1H,3H)pyridenedione","IN-U3204",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1073","2-cyano-2-methoxyiminoacetic acid","IN-W3595",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1075","tert-butylphenoxycyclohexanol",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,"[Some evidence that there may be a slight risk of exposure via residues in some wines]",,,,,
"1076","N-(2,6-dichloro-3-methylphenyl)-5-methoxy-7-hydroxy-1,2,4-triazolo(1,5-alpha)pyrimidine-2-sulfonamide",,,,,,,,,,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1077","prosulfocarb sulfoxide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,"[Low risk of exposure in food or drinking water]",,,,,
"1078","methyl saccharine","IN-W6725",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1617","N-((4-hydroxy-6-methoxypyrimidin-2-yl)amino)carbonyl)-1-methyl-4-(2-methyl-2H-tetrazol-5-yl)-1H-pyrazole-5-sulfonamide","IN-JJ999",,,,,,,,,,,,"[No information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
