ID,Active,Reference,Alias1,Alias2,Alias3,Alias4,Alias5,Alias6,Alias7,Alias8
"927","aniline",,"phenylamine","cyanol","benzamine","benzidam",,,,
"928","3-(2-((1H-1,2,4-triazol-1-yl)methyl)-2-(2,4-dichlorophenyl)-1,3-dioxolan-4-yl)propan-1-ol","CGA 118245",,,,,,,,
"929","propylene urea",,"PU",,,,,,,
"930","methyl 2-sulfamoylbenzoate","STJ 4934","propycarbazone-M05","MKH-6561-sulfonamide methyl ester",,,,,,
"931","4-hydroxy-1,2-benzisothiazol-3(2H)-one 1,1-dioxide","KTS 9357","propoxycarbazone-M08",,,,,,,
"932","2-(3,5-dichlorophenyl)-4,4-dimethyl-5-methylene-oxazoline","RH-24644",,,,,,,,
"933","N-(1,1-dimethylacetonyl)-3,5-dichlorobenzamide","RH-24580",,,,,,,,
"934","2-(3,3,3-trifluoropropyl)phenyl sulfonamide","CGA 159902",,,,,,,,
"936","O-desmethyl triasulfuron","CGA 300406",,,,,,,,
"937","2-(1-chlorocyclopropyl)-1-(2-chlorophenyl)-3-(4,5-dihydro-5-methylthio-1,2,4-triazolyl-1)-propan-2-ol",,"prothioconazole-M01","JAU 6476-S-methyl","prothioconazole-S-methyl",,,,,
"938","alpha-(1-chlorocyclopropyl)-alpha-o(2-chlorophenyl)methyl-1H-1,2,4-triazole-1-ethanol",,"JAU 6476-desthio","prothioconazole-desthio",,,,,,
"939","4-chloroprothiofos",,,,,,,,,
"941","5-hydroxy-6-methyl-4-(((E)-pyridin-3-ylmethylene)amino)-4,5-dihydro-1,2,4-triazin-3(2H)-one","CGA 359009",,,,,,,,
"942",,"BAS 500-6","BF 500-6",,,,,,,
"943","methyl N-(2((1-(4-chlorophenyl)-1H-pyrazol-3-yl)oxymethyl) phenyl)carbamate","BAS 500-7",,,,,,,,
"945","2-amino-4,6-dimethylpyrimidine","AE-F1312593","4,6-dimethylpyrimidin-2-ylamine","M605F007","SN 512723",,,,,
"946","2-hydroxyquinoxaline",,"2-quinoxalinone","quinoxalin-2-ol","HQO",,,,,
"947","3-chloro-8-quinoline-carboxylic acid",,,,,,,,,
"948","3-hydroxy-quinoxyfen","3-OH DE-795",,,,,,,,
"949","pentachloroaniline",,"PCA","HSDB 2693","quintozene metabolite",,,,,
"950","pentachlorobenzene",,"PCB","pentachlorbenzol","quintozene metabolite",,,,,
"952","benzaldehyde",,"phenylmethanal","benzoic aldehyde","benzene carbaldehyde","artificial almond oil","phenylformaldehyde",,,
"953","benzyl alcohol",,"phenylmethanol","phenylcarbinol","hydroxymethylbenzene",,,,,
"1005","chlorobenzoxazolone","AE-F054014","chlorzoxane","chloroxazone",,,,,,
"1006","fenoxaprop","HOE 053022",,,,,,,,
"1007","methyl 2-(dimethylamino)-N-(((methylamino)carbonyl)oxy)-2-oxoethanimidothioate","IN-A2213","oxamyl oxyme","oxamyl oxime",,,,,,
"1008","N,N’-dimethyloxamic acid","IN-D2708","DMOA","dimethyl amino oxoacetic acid",,,,,,
"1009","2-chloro-4-methylsulfonyl-benzoic acid",,"CMBA","sulcotrione-M01","sulcotrione metabolite M01",,,,,
"1012","N-(2-ethoxyethyl)-N-(2-methyl-1-phenyl-1-propenyl)-2-sulfoacetamide",,"M42","pethoxamid metabolite-42","TKC-94 sulfonic acid",,,,,
"1013","sulfosulfuron sulfonamide","MON 52729","sulfosulfuron M9",,,,,,,
"1015","2-propoxy-3-propylquinazolin-4(3H)-one","IN-MM671",,,,,,,,
"1030","oxanilic acid",,,,,,,,,
"1031","metolachlor ethane sulfonic acid","CGA 354743","ethylsulfonic acid metabolite","ethanesulphonic acid metabolite","ESA","ethanesulfonic acid metabolite","alachlor ethanesulfonic acid","metolachlor sulfonic acid","ethane sulphonate",
"1035","2-((aminosulfonyl)methyl)benzoic acid","IN-D1R84","bensulfuride acid sulphonimide",,,,,,,
"1037","2-(2,4-dichlorophenyl)-3-(1H-1,2,4-triazol-1-yl)propanoic acid","M14360-acid","triazole hydroxypropionic acid",,,,,,,
"1038","2-(2,4-dichlorophenyl)-3-(1H-1,2,4-triazol-1-yl)propan-1-ol","M14360-alcohol",,,,,,,,
"1039","1H-1,2,4-triazol-1-ylacetic acid","CGA 142856","TAA","triazole acetic acid","RH-4098",,,,,
"1040","6-fluoro-2-hydroxybenzothiazole","KIF-230-M1","benthiavalicarb-M01",,,,,,,
"1041","1-(6-fluoro-2-benzothiazol-2-yl)ethanol","KIF-230-M3","benthiavalicarb-M03","1-(6-fluoro-2-benzothiazolyl)ethyl alcohol",,,,,,
"1042","1-(6-fluoro-2-benzothiazolyl)ethylamine","KIF-230-M5","benthiavalicarb-M05",,,,,,,
"1043","1-(2-(2-chloro-4-(4-chloro-phenoxy)-phenyl)-2-1H-(1,2,4)triazol-yl)-ethanol","CGA 205375",,,,,,,,
"1044","N-(2,6-dimethylphenyl)-N-(2-methoxyethyl)oxalamic acid","CGA 50266",,,,,,,,
"1045","((2,6-dimethylphenyl)-2-methoxyethyl)carbamoyl)methanesulfonic acid sodium salt","CGA 354742",,,,,,,,
"1047","3-(2,4-dichlorophenyl)-4-hydroxy-1-oxaspiro(4.5)dec-3-en-2-one",,"BAJ2740-enol",,,,,,,
"1048","3-(2,4-dichlorophenyl)-3-hydroxy-1-oxaspiro(4.5)decane-2,4-dione",,"BAJ2740-ketohydroxy",,,,,,,
"1049","3-(2,4-dichlorophenyl)-3,4-dihydroxy-1-oxaspiro(4.5)decan-2-one",,"BAJ2740-dihydroxy",,,,,,,
"1050","2,4-dichlorobenzoic acid",,,,,,,,,
"1051","4-hydroxy-3-mesityl-1-oxaspiro(4.4)non-3-en-2-one",,"BSN 2060-enol","spiromesifen-M01",,,,,,
"1052","4-(8-hydroxy-6-oxo-5-oxaspiro[3.4]oct-7-en-7-yl)-3,5-dimethylbenzoic acid",,"4-carboxy-BSN 0546","spiromesifen-M09",,,,,,
"1053","(2,5-dichloro-4-(1,1,2,3,3,3-hexafluoro-propoxy)-phenyl)-urea","CGA 238277",,,,,,,,
"1054","2,5-dichloro-4-(1,1,2,3,3,3-hexafluoro-propoxy)-phenylamine","CGA 224443","CA944A",,,,,,,
"1055","dichloroetridiazole",,,,,,,,,
"1056","etridiazole acid",,,,,,,,,
"1057","anilino acid",,,,,,,,,
"1058","haloaniline",,,,,,,,,
"1059","7-chloro-3,8-quinoline dicarboxylic acid","BH 518-2",,,,,,,,
"1060","3-hydroxymethyl-7-chloro-quinoline-8-carboxylic acid","BH 518-5",,,,,,,,
"1072","1-ethyl 5,6-di-2,4(1H,3H)pyridenedione","IN-U3204",,,,,,,,
"1073","2-cyano-2-methoxyiminoacetic acid","IN-W3595",,,,,,,,
"1075","tert-butylphenoxycyclohexanol",,"TBPC",,,,,,,
"1076","N-(2,6-dichloro-3-methylphenyl)-5-methoxy-7-hydroxy-1,2,4-triazolo(1,5-alpha)pyrimidine-2-sulfonamide",,"metosulam-M02","7-OH-metosulam",,,,,,
"1077","prosulfocarb sulfoxide",,,,,,,,,
"1078","methyl saccharine","IN-W6725","methyl saccharin","N-methylsaccharin",,,,,,
"1079","N,N-dimethyl-6-(2,2,2-trifluoroethoxy)-1,3,5-triazine-2,4-diamine","IN-D8526","triazine amine",,,,,,,
"1080","N-desmethyl triazine amine","IN-E7710",,,,,,,,
"1081","N,N-bis-desmethyl triazine amine","IN-M7222",,,,,,,,
"1082","TDL",,,,,,,,,
"1083","desmethyl fluometuron","CGA 41686",,,,,,,,
"1084","m-trifluoromethylaniline","CGA 72903","TFMA",,,,,,,
"1088","disulfoton sulfoxide",,"ethylthiometon sulfoxide ","oxydisulfoton",,,,,,
"1089","phorate sulfoxide",,"thimet sulfoxide","CL 18177",,,,,,
"1091","2-chlorobenzenesulfonamide ","IN-A4097","NSC 62927 ",,,,,,,
"1092","2-amino-4-methoxy-6-methyl-1,3,5-triazine","IN-A4098","N-demethyl triazine amine","AE F059411 ","CGA 150829",,,,,
"1093","quizalofop","CGA 287422","quizalofop acid","quiz","propaquizafop acid",,,,,
"1094","hydroxy quizalofop","CGA 294972","3-OH-quizalofop acid","quiz-OH","CQO",,,,,
"1095","7-chloro-3-(1H-imidazol-1-yl)-1,2,4-benzotriazine",,"desoxy-triazoxide","triazoxide metabolite M01",,,,,,
"1099","O-chlorobenzamide","OBAM","CBA",,,,,,,
"1102","2-amido-3,5,6-trichlo-4-cyanobenzenesulphonic acid","R417888","chlorothalonil sulphonic acid","SDS 3701",,,,,,
"1103","3-carbamyl-2,4,5-trichlorobenzoic acid","R611965","SDS 46851",,,,,,,
"1104","5-amino-4-chloro-3(2H)-pyridazinone",,"chloridazon-metabolite B","desphenyl-chloridazon",,,,,,
"1105","5-amino-4-chloro-2-methyl-3(2H)-pyridazinone",,"chloridazon-metabolite B1","methyl-desphenyl-chloridazon",,,,,,
"1107","2,4-dinitro-6-octylphenol",,"2,4-DNOP","2,6-DNOP","DNOP",,,,,
"1121","bis(4-fluorophenyl)methyl silanol","IN-F7321",,,,,,,,
"1122","3-cyclohexyl-6,7-dihydro-7-1H-cyclopentapyrimidine-2,4,5-(3H)trione","IN-KE121",,,,,,,,
"1123","3-cyclohexyl-6,7-dihydroxy-7-1H-cyclopentapyrimidine-2,4,5(3H)trione","IN-KF313",,,,,,,,
"1125","2-(3,5-dichlorophenyl-carbamoyl)-1,2-dimethyl(cyclopropanecarboxylic acid)",,"procymidone-NH-COOH",,,,,,,
"1134","proxsulam-5-OH",,"pyroxsulam-5-hydroxy","proxsulam metabolite 01",,,,,,
"1141","2,3,3-trichloro-2-propene sulfonic acid",,"tri-allate metabolite","TCPSA",,,,,,
"1164","1-carboxy-1-methylethyl 2-chloro-5-(3,6-dihydro-3-methyl-2,6-dioxo-4-(trifluoromethyl)-1(2H)-pyrimidinyl)benzoate","CGA 293731","butafenacil free carboxylic acid metabolite","butafenacil metabolite M01",,,,,,
"1165",,"CGA 293730","butafenacil benzoic acid metabolite","butafenacil metabolite MO2",,,,,,
"1173","2-(2-naphthoxy)propionic acid",,"alpha-naphthoxypropionic acid ","naproanilide metabolite",,,,,,
"1220","chlorophenyl urea","275-352-I",,,,,,,,
"1221","2-chloro-4-(methylsulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]-benzoic acid","AE-0456148","tembotrione MO6","tembotrione metabolite M06","AE 0172747-ether",,,,,
"1222","2-chloro-4(methylsulfonyl)-3-((2,2,2-trifluoroethoxy)methyl)phenol","AE-0968400","tembotrione M1","tembotrione metabolite M01",,,,,,
"1223","2-(1',2'-dioxotetradecyl)benzoic acid","AKM-18","acequinocyl metabolite F1",,,,,,,
"1224","N-(4-(1-carboxy-1-methylethyl)-benzyl)-4-chloro-3-ethyl-1-methyl-5-pyrazolecarboximide","CL-810721","tebufenpyrad metabolite M-CO2H",,,,,,,
"1230","2-(1-carbamoyl-1,2-dimethyl-propylcarbamoyl)-quinoline-3-carboxylic acid","CL-266066","AC 266066",,,,,,,
"1237","2-methylsulfonyl-4-trifluoromethylbenzoic acid","AE-B197555",,,,,,,,
"1251","3-(4-hydroxy-6-methoxypyrimidin-2-yl)-1-(N-methyl-N-methylsulfonyl-aminosulfonyl)-urea","AE-F101630","HOE 101630","amidosulfuron metabolite B","desmethyl amidosulfuron",,,,,
"1238","2-(((4-hydroxy-6-methoxypyrimidin-2-yl)carbamoyl)sulfamoyl)-N,N-dimethylpyridine-3-carboxamide",,"HMUD",,,,,,,
"1239","2-((carbamimidoylcarbamoyl)sulfamoyl)-N,N-dimethylpyridine-3-carboxamide",,"AUSN",,,,,,,
"1240","N,N-dimethyl-2-sulfamoylpyridine-3-carboxamide",,"ASDM",,,,,,,
"1182","2-methyl-2-(4-(2-methyl-3-piperidin-1-yl-propyl)-phenyl)-propionic acid","CGA 289267",,,,,,,,
"1242","1H-benzimidazole-2-carboxylic acid",,"fuberidazole M01","fuberidazole metabolite 01","fuberidazole-2-carboxybenzimidazole",,,,,
"1243","2-chlorobenzoic acid","AE-C500233","triflumuron M02","2-CBA","NC233",,,,,
"1247","t-oxanilic acid","MON 52766","tertiary-oxanilic acid","oxamic acid","acetochlor oxanilic acid","OA",,,,
"1248","t-sulfonic acid",,"tertiary sulfonic acid","ESA","ethane sulphonate metabolite","acetochlor ethanesulfonic acid",,,,
"1249","t-sulfinylacetic acid","MON 52709","tertiary-sulfinylactetic acid","thioacetic acid sulphoxide","acetochlor SAA","acetochlor thioacetate",,,,
"1252","3-(5,6-hydroxy-4-methoxypyrimidin-2-yl)-1-(N-methyl-N-methylsulfonyl-aminosulfonyl)-urea","AE-F128870","Hoe 128870 metabolite A","BCS-BB79646",,,,,,
"1257","fenpropimorph carboxylic acid","CGA 294975","fenpropimorph acid","BF 421-2","BAS 421-2","RO14-8155",,,,
"1258","cis-2,6-dimethylmorpholine",,"BF 421-10","dimethylmorpholine","cis-2,6-DMM",,,,,
"1259","(E)-4-((1,3-dimethyl-5-phenocypyrazole-4-yl)methyleneaminooxy-methyl)benzoic acid",,"fenproximate-M3",,,,,,,
"1260","5-((3-chloro-5-(trifluoromethyl)-2-pyridyl)amino)-alpha,alpha,alpha-trifluoro-4,6-dinitro-o-cresol",,"HYPA",,,,,,,
"1261","3-(2,4-dichlorophenyl)-6-fluoro-quinazolin-2,4(3H)-dione","AE C596912","fluquinconazole dione","dione","FBC 96912","SN 596912","M615F001",,,
"1263","(2RS)-1-(4-chlorophenyl)-4,4-dimethyl-2-(1H-1,2,4-triazol-1-yl)pentan-3-one","CGA 149907",,,,,,,,
"1264","4-(N'-(3,5-dimethylbenzoyl_-N-(1,1-dimethylethyl)hydrazinocarbonyl)benzoic acid","RH-2651","RH 112651","HOE 121836",,,,,,
"1265","4-(N'-(3,5-dimethylbenzoyl-N-(1,1-dimethylethyl)hydrazinocarbonyl)phenyl acetic acid","RH-2703","RH 112703","HOE 121835",,,,,,
"1266","N-(1,1-dimethyethyl)-N-(4-acetylebenzoyl)-3,5-dimethylbenzohydrazine","RH-6595","RH 96595","HOE 121834",,,,,,
"1267","3-(2,4,6-trimethylphenyl)pentanedioic acid","R173642",,,,,,,,
"1268","4-(2-(1-ethoxyimino)propyl)-3-hydroxy-2-cyclohexene-1-one-5-yl)-3-5-dimethyl benzoic acid","R223068",,,,,,,,
"1300","1,1-(2,2-dichloroethylidene)bis(4-methoxybenzene)",,"methoxychlor metabolite",,,,,,,
"1301","allophanate",,"thiophanate-methyl metabolite","allophanic acid",,,,,,
"1302","3-chloroaniline",,,,,,,,,
"1342","2,6-dinitro-4-(trifluoromethyl)phenol",,"benfuralin-B12","4-hydroxy-3,5-dinitrobenzotrifluoride",,,,,,
"1343","alpha-naphthoxy propionic acid",,"NOPA",,,,,,,
"1378","2-(2,4-dichloro-phenyl)-3-(1,2,4)triazol-1-yl-propionic acid","CGA 179944",,,,,,,,
"1404","3-chloroacrylic acid",,,,,,,,,
"1407","N-methyl(6-chloro-3-pyridyl)methylamine",,"IM-1-4",,,,,,,
"1408","3-(5-hydroxy-4,6-dimethoxypyrimidin-2-yl)-1-(N-methyl-N-methylsulfonyl-aminosulfonyl)-urea","AE 1569309","amidosulfuron metabolite E","ring-hydroxylated amidosulfuron",,,,,,
"1409","methyl-N-malonyl-N-2,6-xylyl-DL-alaninate",,"benalaxyl M1","benalaxyl metabolite compound A",,,,,,
"1410","N-malonyl-N-2,6-xylyl-DL-alanine",,"benalaxy M2","benalaxyl metabolite compound B",,,,,,
"1411","de-ethylated bupirimate",,"DE-B",,,,,,,
"1412","2,3.dihydro-2,2-diemethyl-7-benzofuranol","NIA 10272 ","carbofuran-7-phenol","carbofuran phenol","AI3-27488",,,,,
"1413","dibutylamine",,"di-n-butylamine",,,,,,,
"1414","2-chloro-5-(4-(difluoromethyl)-3-methyl-5-oxo-4,5-dihydro-1H-1,2,4-triazol-1-yl)-4-fluorobenzoic acid",,"F8426-benzoic acid","F8426 BA",,,,,,
"1415","clethodim oxazole sulfone",,,,,,,,,
"1417","N-(2-chlorothiazol-5-ylmethyl)-N’-nitroguanidine",,"TZNG",,,,,,,
"1418","N-methyl-N-nitroguanidine",,"MNG",,,,,,,
"1419","1-(N-hydroxymethylcarbonyl-N-methoxycarbonylguanyl)-3-(2-ethoxyphenyl-sulfonyl)urea",,"Ethoxysulfuron M3",,,,,,,
"1420","3-carbamoyl-2-cyano-3-(2,2-difluoro-benzo(1,3)dioxol-4-yl)-oxirane-2-carbocyclic acid","CGA 339833",,,,,,,,
"1421","(2,2-difluoro-benzo(1,3)dioxol-4-carbocyclic acid","CGA 192155",,,,,,,,
"1423","4-chloromethyl-3-hydroxy-1-(3-(trifluoromethyl)phenyl)-2-pyrrolidinona","R406639","flurochloridone-M5",,,,,,,
"1424","1-(m-trifluoromethylphenyl)-4-chloromethyl-3-pyrrolin-2-one","R42819",,,,,,,,
"1425","1-((6-chloro-3-pyridinyl)methyl)N-nitro-1H-imidazol-2-amine",,"NTN33893-olefin","imidacloprid M06","imidacloprid-olefin",,,,,
"1426","N-(3-(1-ethyl-1-methyl-2-oxypropyl)isoxazol-5-yl)-2,6-dimethoxybenzamide",,"oxypropyl isoxaben",,,,,,,
"1428","acetaldehyde",,"ethylaldehyde","acetic aldehyde","ethanal",,,,,
"1469","4-(dimethylamino)-3-methylphenol ",,"aminocarb phenol",,,,,,,
"1470","N-(4-chlorophenoxy)-phenyl-N-methylurea",,,,,,,,,
"1427","2-(4-chlorophenyl)-2-hydroxy-N-(2-(3-methoxy-4-prop-2-ynyloxy-phenyl)-ethyl)-acetamide","CGA 380778","R730383",,,,,,,
"1429","paraldehyde",,"paracetaldehyde",,,,,,,
"1430","(2-hydroxy-3,3-dimethyl-2-(1,2,4)triazol-1-ylmethyl-cyclopentyl)-(4-chlorophenyl)-methanone","CL 382389",,,,,,,,
"1431","carbimid",,,,,,,,,
"1432","2-((carbamoylcarbamoyl)sulfamoyl)-N,N-dimethylpyridine-3-carboxamide",,"UCSN",,,,,,,
"1433","2-ethylsulfonyl ethane sulfonic acid",,"oxydemeton-methyl M10","ESOES",,,,,,
"1434","3-aminotoluene",,"m-toluidine","3-methylaniline","m-tolylamine",,,,,
"1436","3-ethyl-4-(methoxyamino)-2,5-dioxoimidazolidine-4-carboxamide","IN-KQ960",,,,,,,,
"1437","3-ethyl-4-(methoxyamino)-2,5-dioxoimidazolidine-4-carbonitrile","IN-JX915",,,,,,,,
"1438","1,3-dimethyl-5-phenoxypyrzole-4-carbonitrile",,"fenpyroximate-M11",,,,,,,
"1439","N-formyl-N'-propyl-N'-2(2,4,6-trichlorophenoxy)ethylurea","BTS 44596","prochloraz formyl urea","AEC 444596",,,,,,
"1440","6-methyl-4-((6-oxo-1,6-dihydropyridine-3-ylmethylene)-amino)4,5-dihydro-2H-(1,2,4)triazin-3,5-dione","CGA 363430",,,,,,,,
"1442","desmethyl dichlorvos",,"desmethyl DDVP",,,,,,,
"1443","dichlorivinylphosphate",,,,,,,,,
"1444","thiacloprid-amide","KK02254","thiacloprid M02","YRC 2894-amide",,,,,,
"1445","thiacloprid sulfonic acid","BCS-AB54351","thiacloprid M30","WAK6999",,,,,,
"1446","3,5-dichloro-2,4-difluoroaniline",,"CFA",,,,,,,
"1451","4-(4-hydroxyphenoxy)phenyl (RS)-2-(2-pyridyloxy)propyl ether",,"4-OH-pyr","4-OH-pyriproxyfen",,,,,,
"1452","(RS)-2-(2-pyridyloxy)propionic acid",,"PYPAC",,,,,,,
"1471","N-(4-chlorophenoxy)-phenylurea",,,,,,,,,
"1472","4-chlorophenoxy-aniline",,,,,,,,,
"1482","1-methyl-4-(2-methyl-2H-tetrazol-5-yl)-1H-pyrazole-5-sulfonamide","IN-A8342","IN8342",,,,,,,
"1483","N-(((aminoiminomethyl)amino)carbonyl)-1-methyl-4-(2-methyl-2H-tetrazol-5-yl)-1H-pyrazole-5-sulphonamide","IN-KQ962",,,,,,,,
"1489","N-(2,6-difluorobenzoyl)-4-tert-butyl-2-ethoxybenzamine",,"etoxazole-M03","etoxazole R3",,,,,,
"1490","2 amino-2-(4-tert-butyl-2-ethoxyphenyl)ethyl 2',6'-difluorobenzoate hydrochloride",,"etoxazole R7","etoxazole-MO7",,,,,,
"1491","2 amino-2-(4-tert-butyl-2-ethoxyphenyl)ethanol",,"etoxazole R8","etoxazole-MO8",,,,,,
"1492","4-(4-tert-butyl-2-ethoxyphenyl)-2-(2,6-difluorophenyl)oxazole",,"etoxazole R13","etoxazole-M13",,,,,,
"1494","desethyl-terbuthylazine","GS26379","terbuthylazine metabolite MT1","terbuthylazine M01",,,,,,
"1495","hydroxy-terbuthylazine","GS 23158","terbuthylazine metabolite MT13","terbuthylazine metabolite M13","2-hydroxy-terbuthylazine",,,,,
"1505","metolachlor oxanilic acid","CGA 51202","metalochlor OA","OA",,,,,,
"1506","alachlor ethane sulphonate",,"alachlor ESA","alachlor sulphonate metabolite",,,,,,
"1507","alachlor oxanilic acid",,"alachlor OX","alachlor oxa","alachlor oxanilic acid","OA",,,,
"1509","2,4-dimethylformanilide","BTS 27919",,,,,,,,
"1512","3,5-dimethyl-4-(hydroxymethyl)phenyl N-methylcarbamate",,,,,,,,,
"1513","2,5-dimethyl-3-(hydroxymethyl)phenyl N-methylcarbamate",,,,,,,,,
"1514","4,5-dimethyl-3-(hydroxymethyl)phenyl N-methylcarbamate",,,,,,,,,
"1515","4-hydroxy-2-isopropyl-6-methylpyrimidine","CGA 14128",,,,,,,,
"1516","6-cyclopropyl-2-phenylamino-pyrimidin-4-yl)-methanol","CGA 232449",,,,,,,,
"1517","3-(4-hydroxycyclohexyl)-6-(dimethylamino)-1-methyl-1,3,5-triazine-2,4(1H,3H)dione",,"hexazinone Metabolite A",,,,,,,
"1518","3-cyclohexyl-6-(methylamino)-1-methyl-1,3,5-triazine-2,4-(1H,3H)-dione",,"hexazinone Metabolite B",,,,,,,
"1519","3-(4-hydroxycyclohexyl)-6-(methylamino)-1-methyl-1,3,5-triazine-2,4(1H,3H)-dione",,"hexazinone Metabolite C",,,,,,,
"1521","methylamine",,"MMA",,,,,,,
"1522","3-nitro-N2,N2-dipropyl-5-(trifluoromethyl)benzene-1,2-diamine","TR-4",,,,,,,,
"1528","6-hydroxy-4-trifluoromethylnicotinic acid",,"TFNA-OH",,,,,,,
"1536","desmethyl norflurazon",,"N-demethylnorflurazone",,,,,,,
"1538","2-hydroxyatrazine","G-34048","hydroxyatrazine","C06552","hydroxydechloroatrazine","AED",,,,
"924","dihydroxy quinoxaline","CGA 294970","CHQH","hydroxy phenol 2",,,,,,
"1024","(1RS,3RS)-3-((Z)-2-chloro-3,3,3-trifluoroprop-1-enyl)-2,2-dimethylcyclopropanecarboxylic acid",,"TFP-acid",,,,,,,
"1571","methyl-2-butyl sulfone",,,,,,,,,
"1584","2,3-difluoro-6-trifluoromethylbenzamidine","149-F1",,,,,,,,
"1585","2,3-difluoro-6-(trifluoromethyl)benzamide","149-F6",,,,,,,,
"1600","benzoic acid, 2-((4,6-dimethoxy-2-pyrimidinyl)oxy)6-hydroxy, sodium salt",,"bispyribac-sodium M05","BX-Na-180","Na-BX-180","FHW 0111G",,,,
"1601","benzoic acid, 2-(4,6-dimethoxy-2-pyrimidinyl)oxy)-6-((4-hydroxy-6-methoxy-2-pyrimidinyl)oxy), sodium salt","KIB 8651","DesMe-2023","bispyribac-sodium M06","M18558",,,,,
"1602","2,4-dihydroxy-6-methoxypyrimidine",,"MeBA","bispyribac-sodium M04","KIH-2023-M-4","M15877","FHW 0111I",,,
"1603","hydrazide-hydrazone","AE C593600","FBC 93600",,,,,,,
"1604","cis-des-hexafluoroisopropyl acrinathrin","DP-A","RU 38243",,,,,,,
"1605","(2Z)-3-(3-((2-amino-2-oxo-1-(3-phenoxyphenyl)ethoxy)carbonyl)-2,2-dimethylcyclopropyl)prop-2-enoic acid",,"DP-A-A",,,,,,,
"1606","N-(4-(2-chloro-4-(trifluoromethyl)phenoxy)-2-fluorophenyl) urea","CL 932338","WL 129183","Reg No. 4064702",,,,,,
"1607","4-(2-cyanophenoxy)-6-hydroxypyrimidine","R401553","Compound 28","SYN 501657",,,,,,
"1608","2-(6-(2-cyanophenoxy)pyrimidin-4-yloxy)benzoic acid","R402173","Compound 30","SYN 501114",,,,,,
"1609","despropionyl prohexadione","KI5376",,,,,,,,
"1610","2-tert-butyl-5-(4-(1-carboxy-1-methylethyl) benzylthio)4-chloropyridazin-3 (2H)-one",,"pyridaben PB-7","PB-7",,,,,,
"1611","2-tert-butyl-4-chloropyridazin-3(2H)-one-5-sulfonic acid",,"pyridaben PB-4","PB-4",,,,,,
"1616","1-amino-4,6-dimethoxypyrimidine","IN-J0290","pyrimidineamine",,,,,,,
"1617","N-((4-hydroxy-6-methoxypyrimidin-2-yl)amino)carbonyl)-1-methyl-4-(2-methyl-2H-tetrazol-5-yl)-1H-pyrazole-5-sulfonamide","IN-JJ999",,,,,,,,
"1631","2-(2,2-difluoroethoxy)-N-(5-hydroxy-8-methoxy(1,2,4)triazolo(1,5-c)pyrimidin-2-yl)-6-(trifluoromethyl)benzenesulfonamide",,"5-OH-penoxsulam","5-OH-DE-638",,,,,,
"1632","3-(((2-(2,2-difluoroethoxy)-6-(trifluoromethyl)phenyl)sulfonyl)amino)-1H-1,2,4-triazole-5-carboxylic acid",,"BSTCA",,,,,,,
"1646","6-iodo-3-propylquinazoline-2,4(1H,3H)-dione","IN-MM986",,,,,,,,
"1647","3-propylquinazoline-2,4(1H,3H)-dione","IN-MM991",,,,,,,,
"1717","2,3,5,6-tetrachloroterephthalic acid",,"TPA","chlorthal",,,,,,
"1718","monomethyl-tetrachloroterephthalic acid ",,"MPA","MTP",,,,,,
"1735","2-((2-ethyl-6-methylphenyl) (isopropoxymethyl)amino)-2-oxoethane sulfonic acid",,"Propisochlor-M2","Propisochlor metabolite 02","Propisochlor t-sulfonic acid",,,,,
"1736","((2-ethyl-6-methylphenyl)(sopropoxymethyl)amino)(oxo)acetic acid",,"Propisochlor-M4","Propisochlor metabolite 04",,,,,,
"1737","(RS)2-phenylcarbamoyl-propionic acid",,"carbetamide-COOH",,,,,,,
"2184","2-oxyfenazaquin",,,,,,,,,
"2003","3-(difluoromethyl)-1-methyl-1H-pyrazole-4-carboxylic acid","M700F001",,,,,,,,
"2004","3-(difluoromethyl)-1H-pyrazole-4-carboxylic acid","M700F002",,,,,,,,
"2005","2-(trifluoromethyl)benzoic acid ",,"cyflumetofen metabolite B-1 ","2-TFMBA",,,,,,
"2006","cyflumetofen metabolite AB-1",,,,,,,,,
"2007","2-(trifluoromethyl)benzamide",,"cyflumetofen metabolite B-3",,,,,,,
"2137","diclofop-phenol",,,,,,,,,
"2138","oxathiine amide sulfoxide",,"P/V-54",,,,,,,
"2139","oxathiine amide sulfone",,"P/V-55",,,,,,,
"2140","5-(trifluoromethyl)-2(1H)-pyridinone",,,,,,,,,
"2145","N-(3-amino-4-ethyl-4-methyl-2-hexenoyl)-2,6-dimethoxybenzamide",,"AEM hexenoyl isoxaben",,,,,,,
"2146","2,6-dimethoxybenzamide",,"2,6-DMBA",,,,,,,
"2147","3-(difluoromethyl)-1-methyl-N-((1R,4S,9R)-1,2,3,4,-tetrahydro-9-(2-hydroxypropan-2-yl)-1,4-methanonaphthalen-5-yl)pyrazsaole-4-carboxamide","CSCD459488","hydroxyl isopyrazam","SYN545364",,,,,,
"2148","3-(difluoromethyl)-1H-pyrazole-4-carboxylic acid","CSCD465008","desmethyl pyrazole carboxylic acid","sedaxane metabolite 02","isopyrazam metabolite","R958945","N-desmethyl pyrazole acid",,,
"2149","isopropyl 4,5-diethoxy-2-nitrocarbanilate",,"6-NO2-DFC",,,,,,,
"2151","4-hydroxy-3,5-dinitro-benzenesulfonamide",,"OR-20",,,,,,,
