ID,Active,Reference,Solubility  in water at 20 DegC - mg/l,Solubility  in water at 20 DegC - quality barometer,Solubility in organic solvents at 20 DegC 1 - mg/l,Solubility in organic solvents at 20 DegC 1 - quality barometer,Solubility in organic solvents at 20 DegC 2 - mg/l,Solubility in organic solvents at 20 DegC 2 - quality barometer,Solubility in organic solvents at 20 DegC 3 - mg/l,Solubility in organic solvents at 20 DegC 3 - quality barometer,Solubility in organic solvents at 20 DegC 4 - mg/l,Solubility in organic solvents at 20 DegC 4 - quality barometer,Melting point  - deg C,Melting point - quality barometer,Boiling point at 1atm - deg C,Boiling point at 1atm - quality barometer,Thermal degradation temperature at 1atm - deg C,Thermal degradation temperature at 1atm - quality barometer,Flashpoint - deg C,Flashpoint - quality barometer,LogP,LogP - quality barometer,Vapour pressure - mPa,Vapour pressure - quality barometer,Henrys law constant Hd - Pa m3 mol-1,Henrys law constant Hd - quality barometer,General biodegradability,Soil DT50 typical - days,Soil DT50 typical - quality barometer,Soil DT50 lab - days,Soil DT50 lab - quality barometer,Soil DT90 lab - days,Soil DT90 lab - quality barometer,Soil DT50 field - days,Soil DT50 field - quality barometer,Soil DT90 field - days,Soil DT90 field - quality barometer,Soil DT50 modelling endpoint,Soil DT50 modelling endpoint - quality barometer,Soil DT50 notes,Kd - ml/g,Koc - ml/g,Kd & Koc - quality barometer,Kd & Koc - notes & range,Kf - ml/g,Kfoc - ml/g,Freundlich Exponent (1/n),Freundlich isotherm - quality barometer,Kf & Kfoc - notes & text,Koc pH sensitivity,Aqueous photolysis DT50 - days,Aqueous photolysis DT50 - quality barometer,Aqueous photolysis DT50 - notes,Aqueous Hydrolysis DT50 at pH7 - days,Aqueous Hydrolysis DT50 at pH7 - quality barometer,Aqueous Hydrolysis DT50 at pH7 - notes,Whole water-sediment system DT50 - days,Whole water-sediment system DT50 - quality barometer,Water phase DT50 - days,Water phase DT50 - quality barometer,Dissipation rate RL50 on plant matrix,On plant matrix RL50 - quality barometer,On plant matrix RL50 - notes,Dissipation rate RL50 on and in plant matrix,On and in plant matrix RL50 - quality barometer,On and in plant matrix RL50 - notes,Metabolite 1 - ID,Metabolite 1 - name,Metabolite 1 - reference,Metabolite 1 - formation medium,Metabolite 1 - estimated maximum occurrence,Metabolite 1 - Annex 1 relevant,Metabolite 2 - ID,Metabolite 2 - name,Metabolite 2  - reference,Metabolite 2 - formation medium,Metabolite 2 - estimated maximum occurrence,Metabolite 2 - Annex 1 relevant,Metabolite 3 - ID,Metabolite 3 - name,Metabolite 3 - reference,Metabolite 3 - formation medium,Metabolite 3 - estimated maximum occurrence,Metabolite 3 - Annex 1 relevant,Metabolite 4 - ID,Metabolite 4 - name,Metabolite 4 - reference,Metabolite 4 - formation medium,Metabolite 4 - estimated maximum occurrence,Metabolite 4 - Annex 1 relevant,Metabolite 5 - ID,Metabolite 5 - name,Metabolite 5 - reference,Metabolite 5 - formation medium,Metabolite 5 - estimated maximum occurrence,Metabolite 5 - Annex 1 relevant,Metabolite 6 - ID,Metabolite 6 - name,Metabolite 6 - reference,Metabolite 6 - formation medium,Metabolite 6 - estimated maximum occurrence,Metabolite 6 - Annex 1 relevant,Acid dissociation constant (Pka),pKa - quality barometer,pKa - detail,Bulk bensity (g/ml)/Specific gravity,Density - quality barometer,State,Max UV-VIS absorption - l mol-1 cm-1,Max UV-VIS absorption - quality barometer,Surface tension - mN/m,Surface tension - quality barometer,GUS,SCI-GROW
"732","(Z)-2-chloro-3-(2-chloro-5-(1,3,dioxo-4,5,6,7-tertahydroisoindol-2-yl)phenyl)acrylic acid",,,,,,,,,,,,,,,,,,,,"3.65","R3",,,,,,"25","A5","25","A5",,,,,,,,,,,"263","A4",,,,,,,"Adsorption decreases as pH increases",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.20880707465843","9.05584046264338E-02"
"733","(Z)-2-chloro-3-(2-chloro-5-(((2-hydroxycarbonyl)cyclohexen-1-yl)carbonylamino)phenyl)acrylic acid",,,,,,,,,,,,,,,,,,,,"3.25","R3",,,,,,"27","A5","27","A5",,,,,,,,,,,"2013","A4",,,,,,,"Adsorption decreases as pH increases",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.996452794818087","1.89948868181529E-02"
"734","2-(N-(3-((1Z)-2-carboxy-2-chlorovinyl)-4-chlorophenyl)carbamoy)--hydroxycyclohex-1-enecarboxylic acid",,,,,,,,,,,,,,,,,,,,"1.95","R3",,,,,,"13","A5","13","A5",,,,,,,,,,,"22","A4",,,,,,,"Adsorption decreases as pH increases",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.96039058793953","0.133191022002794"
"735","clethodim sulfoxide",,"73.0","A5",,,,,,,,,,,,,,,,,"2.07","A4","2.14E-09","A5",,,,"9","Q3","7.97","A5","30.9","A5","17","F3",,,,,"EU dossier lab studies DT50 range 2.71-26.26 days, DT90 range 11.9-73.6 days; Other field studies range 8-26 days (F3)",,,,,"0.269","13.3","0.84","A5","EU dossier Kf range 0.072-0.550, Kfoc range 2-24 mL/g, 1/n range 0.71-1.02, Soils=3","No",,,,,,,"26","A4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.53895364609594","0.324774585174019"
"736","clethodim sulfone",,,,,,,,,,,,,,,,,,,,,,"8.24E-10","A5",,,,"15","A4","13.9","A5","30.9","A5",,,,,,,"EU dossier lab studies DT50 range 2.89-55.9 days, DT90 range 11.9-73.6 days; Other data DT50 12-18 days (F3)",,,,,"0.235","10.7","0.79","A5","EU Dossier Kf range 0.146-0.366, Kfoc range 5-16 mL/g, 1/n range 0.74-0.87, Soils=3","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.39545830798071","0.215469008334411"
"737","2-hydroxy-3-fluoro-5-chloro-pyridine","CGA 302371",,,,,,,,,,,,,,,,,,,"0.52","A4 @25 DegC",,,,,,"14.1","A5","14.1","A5",,,,,,,"29.7","A5 worse case","EU 2017 dossier lab studies DT50 range 6.27-29.7 days",,,,,"0.87","49.7","0.9","A5","EU dossier kf range 0.62-1.1, Kfoc range 25.1-81.6, 1/n range 0.84-0.96, Soils=3","No",,,,,,,"142","A5","134","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.64739126681411","0.107836048176384"
"738","4-chloro-5-p-tolylimidazole-2-carbonitrile",,,,,,,,,,,,,,,,,,,,"2.46","Q2",,,,,,"14","A4","14","A4",,,,,,,,,,,,,,,"753","1.05","A4",,,"23","A5",,"Stable","A5",,"26","A5","25","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.36","Q2",,,,,,"1.28733676759102","2.29923355902578E-02"
"739","4-chloro-5-p-tolylimidazole-2-carboxamide",,,,,,,,,,,,,,,,,,,,,,,,"0.16","V3",,"21","A4","21","A4",,,"12","B4",,,,,,,,,,,"2396","0.98","A4",,,,,,"Stable","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.669646193561575","1.06872500867834E-02"
"740","4-chloro-5-p-tolylimidazole-2-carboxylic acid",,"2000","H4",,,,,,,,,,,,,,,,,,,,,,,,"220","A4","220","A4",,,,,,,,,,,,,,,"836","0.9","A4",,,,,,"Stable","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.52464846097464","0.173475772671355"
"741","2,4-dichloroaniline",,"620","V3 @ 25 DegC",,,,,,,,,,,,,,,,,"2.78","V3",,,,,,"96","A5","96","A5",,,,,,,,,,,"584","A4","EU dossier Koc range 349-883 mL/g, Soils=5",,,,,,,,,,,,,"78","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","V3","Strong acid","1.40","Q2",,,,,,"2.44530432661627","0.151071671174826"
"951","chrysanthemic acid",,,,,,,,,,,,,,,,,,,,"3.49","V3",,,,,,,,,,,,,,,,,,,,"7","Q2","Estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.08","Q2",,,,,,"Cannot be calculated","Cannot be calculated"
"1245","8a-hydroxyavermectin B1a","NOA 448112",,,,,,,,,,,,,,,,,,,,,,,,,,"32.1","A5","32.1","A5","136.3",,,,,,,,"EU 2019 dossier lab studies DT50 (normalised) range 16.9-81.7 days, DT90 (measured) range 56.0-272 days, Soils=11",,,,,"41.0","1943","0.871","A5","EU dossier Kf range 15.9-78.9 mL/g, Kfoc range 1098-3104 mL/g, 1/n range 0.796-0.961, Soils=3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.07191930658937","0.021400817176442"
"1246","8a-oxo-avermectine B1a","NOA 448111",,,,,,,,,,,,,,,,,,,,,,,,,,"49.0","A5","49.0","A5","60.2","A5",,,,,,,"EU 2019 dossier lab studies DT50 (normalised) range 18.1-114 days, DT90 (measured) range 60.2-325 days, Soils =11",,,,,"81.6","3997","0.829","A5","EU dossier Kf range 38.3-128 mL/g, Kfoc range3027-5052 mL/g, 1/n range 0.835-0.827, Soils=3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.673147381419988","1.28283771015592E-02"
"1405","4,8a-dihydroxy-avermectin B1a","NOA 457464",,,,,,,,,,,,,,,,,,,,,,,,,,"51.9","A5","51.9","A5","188","A5",,,,,,,"EU 2019 dossier lab studies DT50 (normalised) range 35.9-74.0 days, DT90 (measured) range 148-246 days, Soils=4",,,,,"35.4","1732","0.912","A5","EU dossier Kf range 16.9-61.3 mL/g, Kfoc range 1082-2423 mL/g, 1/n range 0.890-0.944, Soils=3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.30601780761374","3.05078676657008E-02"
"1406","8a-oxo-4-hydroxy-avermectin B1a","NOA 457465",,,,,,,,,,,,,,,,,,,,,,,,,,"86.8","A5","86.8","A5","348","A5",,,,,,,"EU 2019 dossier lab studies DT50 (normalised) range 39.4-181 days, DT90 (measured) range 168-602 days, Soils=4",,,,,"82.4","3908","0.936","A5","EU dossier Kf 32.7-148 mL/g, Kfoc range 2573-5815 mL/g, 1/n range 0.791-1.011, Soils=3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.791004143810322","1.53074629857082E-02"
"1448","N-demethylated spinosyn D",,,,,,,,,,,,,,,,,,,,,,,,,,,"531","A5","531","A5",,,,,,,,,,,"20328","A5","EU dossier Koc range 665-75650 mL/g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.839587048255007","5.35307472937412E-03"
"2225","27-hydroxy-milbemycin A4",,,,,,,,,,,,,,,,,,,,,,,,,,,"11.8","A5","11.8","A5","39.2","A5",,,,,,,"EU 2017 dossier lab studies DT50 range 10.6-12.9 days, DT90 range 35.3-43.0 days, Soils=2",,,,,"54.9","2111","0.82","A4","EU 2017 dossier Kf range 20-94 mL/g; Kfoc range 1828-2462 mL/g, 1/n range 0.80-0.85; Soils = 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.724068908441097","1.12713446874308E-02"
"2226","27-keto-milbemycin A4",,,,,,,,,,,,,,,,,,,,,,,,,,,"8.0","A3","8.0","A3",,,,,,,"26.6","A5","EU 2017 dossier ",,,,,"171","6718","0.99","A4","EU 2018 dossier Kf range 59-246 mL/g; Kfoc range 5350-7444 mL/g;, 1/n range 0.95-1.05, Soils = 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.156017826599175","5.74961509054849E-03"
"2462","8a-hydroxy-4-deoxy-4-epi-methylamino avermectin B1a","NOA 438306",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.4","A5","29.4","A5",,,,,,,"EU Dossier Lab studies DT50 range 16.4-160.6 days",,,,,"224","14867","0.93","A5","EU dossier Kf range 52-320 mL/g, Kfoc range 2600-30-000 mL/g, 1/n range 0.86-0.98, soils=3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.252883683620102","5.35307472937412E-03"
"2463","(4R)-5-O-demethyl-4-deoxy-4-(methylamino)-28-oxoavermectin A1a","NOA 438307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2464","N-nitroso MAB1a",,,,,,,,,,,,,,,,,,,,,,,,,,,"24.1","A54","24.1","A5",,,,,,,,,"EU dossier Lab studies DT50 range 12.5-50.8 days",,,,,"197","9025","0.92","A5","EU dossier Kf range 176-235 mL/g, Kfoc range 6776-11867 mL/g, 1/n range 0.90-0.96, soils=3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.15727142758745E-02","5.54726601683697E-03"
"2465","(4R)-5-O-demethyl-4-deoxy-4-(formylmethylamino)-avermectin A1a","NOA 415692",,,,,,,,,,,,,,,,,,,,,,,,,,"56.7","A4","56.7","A4",,,,,,,,,"EU dossier Lab studies 1 sample, DT50 56.7 days",,,,,"142.5","3898","0.67","A5 ","EU dossier Kf range 83.4-220 mL/g, Kfoc range 1818-6440 mL/g, 1/n range 0.66-0.70, soils=3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.717492826934687","1.36941233031606E-02"
"688","benzo(1,2,3)thiadiazole-7-carboxylic acid","CGA 210007","39000","A5",,,,,,,,,,,,,,,,,,,,,,,,"24.9","A5","24.9","A5","126.5","A5","23.6","A5",,,,,"EU dossier lab studies DT50 range 4.09-90.6 days, DT90 range 13.6-359 days, Field studies DT50 range 5.5-59 days",,,,,"1.12","113","0.856","A5","EU dossier Kf range 0.3-2.5 mL/g, Kfoc range 40-312 mL/g, 1/n range 0.76-0.96, Soils=9","No",,,,,,,"418","A5","229","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.67295197378286","0.159438137757704"
"689","2-hydroxy-2',6'-diethyl-N-(methoxymethyl)acetanilide",,,,,,,,,,,,,,,,,,,,"1.96","Q2",,,,,,,,,,,,,,,,,,,,"278","Q2","Estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.11","Q2",,,,,,"Cannot be calculated","Cannot be calculated"
"690","methomyl oxime","IN-X1177","12500","V3 @ 25 DegC",,,,,,,,,,,,,,,,,"1.12","V3","1.25E+03","V3","6.35E-03","V3",,"1","A4","1.03","A5","3.9","A5",,,,,,,"EU dossier lab studies DT50 range 0.94-1.15 days, DT90 range 3.3-4.4 days",,,,,"0.188","11.0","0.78","A5","EU dossier Kf range 0.070-0.454 mL/g, Kfoc range 6.6-20.0 mL/g, 1/n range 0.68-0.95, Soils=5","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.79803069149901E-02","1.40384386989402E-03"
"691","aldicarb sulfoxide",,"28000","V3 @ 25 DegC",,,,,,,,,,,,,,,,,"-0.78","V3","13.33","V3 @ 25 degC","9.81E-05","V3 @ 25 degC",,"22","K3",,,,,,,,,,,"Research dataset DT50 range 16-28 days",,"1","Q2","Estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.21","Q2",,,,,,"5.36969072328882","1.34179895807168"
"742","cycloxydim sulfoxide","BH 517-TSO","1000","A3",,,,,,,,,,,,,,,,,"1.22","A5",,,,,,"13.8","A4","8.9","A5","33.2","A5","1.7","A5","16","A5",,,"EU dossier lab studies DT50 range 8.0-9.5 days, DT90 range 30.9-35.2 days, Field studies DT50 range 0.4-3.8 days, DT90 range 4.5-46.0 days",,,,,"0.785","84.6","0.9","A5","EU dossier range Kf 0.388-1.668 mL/g; Kfoc range 22-176 mL/g, 1/n 0.562-0.992, Soils=5","No",,,,"Stable","A5","Stable at all relevant pH values",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.4776352642543","1.14074620616982E-03"
"743","cycloxydim sulfone","BH 517-TSO2","150000","A5",,,,,,,,,,,,,,,,,"1.4","A5",,,,,,"42.0","A4","41.8","A4","155","A4",,,,,,,"EU dossier lab studies DT50 range 14.2-292 days, DT90 range 59.4-969 days",,,,,"3.3","151","0.816","A5","EU dossier range Kf range 1.66-5.93, Kfoc range 88-191 mL/g, 1/n 0.771-0.861, Soils=3","No","2.1","A3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.95219938161388","0.272470895228501"
"744","N-cyclopropylmethoxy-2,3-difluoro-6-trifluoromethylbenzamidine","149-F",,,,,,,,,,,,,,,,,,,,,,,,,,"10.3","A3","9.8","A3","26.1","A5",,,,,,,"EU dossier Lab studies DT50 5.78-14.9 days, DT90 range 19.2-47.8",,,,,"0.626","32","0.84","A5","EU dossier Kf range 0.084-1.037 mL/g, Kfoc range 10-5-43.2 mL/g, 1/n range 0.73-0.90, Soils=4","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.4729603964313","5.24811361533782E-02"
"745","((Z)-N-(alpha-cylcopropylmethoxyimino-2,3-difluoro-6-trifluoromethylbenzyl)carbamoylacetic acid","149-F11",,,,,,,,,,,,,,,,,,,,,,,,,,"2.6","A3","2.3","A3","8.6","A5",,,,,,,"Lab studies DT50 1.86-3.42 days, DT90 range 6.2-11.4 days",,,,,"0.20","13.6","0.88","A5","EU dossier Kf range 0.141-0.248 mL/g, Kfoc range 7-25 mL/g, 1/n range 0.82-0.93, Soils=4","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.03687876770387","2.43765678280821E-03"
"748","cyhalofop amide",,,,,,,,,,,,,,,,,,,,,,,,,,,"0.24","A5","0.24","A5","0.79","A5",,,,,,,"EU dossier lab studies DT50 range 0.07-0.57 days, DT90 range 0.22-1.9 days","0.50","50","A5",,,,,,,,,,,,,,"14.8","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1.42615252379693","1.68023199212957E-04"
"749","cyhalofop diacid","XDE-537 ",,,,,,,,,,,,,,,,,,,,,,,,,,"0.82","A5","0.82","A5","2.69","A5",,,,,,,"EU dossier lab studies DT50 range 0.16-2.5 days, DT90 range 0.53-8.2 days. Flooded soil lab studies DT50 range 48.6-25.1 days, DT90 range 83.2-161 days","1.6","149","A5","EU dossier Kd range 0.34-4.01 mL/g, Koc range 27-401 mL/g, Soils = 4",,,,,,,,,,,,,"21.8","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.157446037938073","3.59824653124212E-04"
"750","4-cyclopropyl-6-methyl-pyrimidine-2-ylamine","CGA 249287",,,,,,,,,,,,,,,,,,,,,,,"1.86E-09","V3",,"115","A5","115","A5","380","A5","148","A5",,,,,"EU dossier lab studies DT50 range 76-153 days, DT90 range 252-508 days; field studies 35-325 days",,,,,"21.5","488","0.83","A5","EU dossier Kf range 14.2-31.2 mL/g, Kfoc range 24.3-2012 mL/g, 1/n range 0.787-0.872, Soils=4","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.84647224697842","0.267940326385964"
"751","3-(4-cyclopropyl-6-methylpyrimidin-2-ylamino)phenol","CGA 275535",,,,,,,,,,,,,,,,,,,,,,,"3.41E-02","V3",,"0.6","A5","0.6","A5","2.2","A5",,,,,,,"EU dossier lab studies DT50 range 0.4-0.9 days, DT90 range 1.3-3.0 days",,,,,"27.5","3358","0.84","A5","EU dossier Kf range 4.4-60.3 mL/g, Kfoc range 1810-7500 mL/g, 1/n range 0.698-0.955, Soils=6","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.105138405942768","3.61533600876455E-05"
"752","melamine","CGA 235129","3900","A5",,,,,,,,,"350","AC4",,,,,,,"-1.14","AC4","0.000035","AC3","4.22","V3",,"524","K2","155","A5",,,,,,,,,"EU dossier lab studies DT50 range 46-211 days",,,,,"3.25","220","0.78","A5","EU dossier kf range 0.96-5.57, Kfoc rang 54-423 mL/g, 1/n range 0.715-0.83","Higher adsorption at lower pH",,,,,,,,,"228","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","V3","Weak acid","1.574","AC4","White crystalline solid",,,,,"3.63064414436326","0.788480213362806"
"754","DDE","HSDB 1625","0.12","V3",,,,,,,,,"89","V3","336","V3",,,,,"6.51","V3",,,,,,"5000","Q3",,,,,"5000","Q3",,,,,"Environmentally stable","50000",,"Q3","Log Koc given as 4.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not applicable","R3","No dissociation","1.402","Q2","White crystalline solid",,,,,"Cannot be calculated","Cannot be calculated"
"756","decamethrinic acid","AE F108565",,,,,,,,,,,,,,,,,,,,,,,,,,"5.0","A5","5.0","A5",,,,,,,"16.8","A5 worse case normalised value","EU 2017 dossier lab studies DT50 (normalised) range 3.0-16.8 days, Soils=5",,,,,"0.28","25.6","0.94","A5","EU 2017 dossier Kf range 0.089-0.587 mL/g, Kfoc range 10.1-46.8 mL/g, 1/n range 0.83-1.00, Soils=5","None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.8115625226839","4.34201059446647E-03"
"757","ethyl 3-hydroxycarbamate",,"3180","A5",,,,,,,,,,,,,,,,,"1.74","Q2","1.8E-02","A5",,,,"3.05","A5","3.05","A5","9.12","A5",,,,,"8.7","A5 Worse case","EU 2018 dossier Lab studies DT50 range 0.29-8.7 days, DT90 range 0.87-28.7 days, Soils=8","5.16","434","A4","EU dossier Kd range 1.62-11.2 mL/g,  Koc range 164-579 mL/g, Soils=3","2.86","165","0.786","A5","EU 2016 RAR Kf range 0.35-7.27 mL/g, Kfoc range 43.3-335 mL/g, 1/n range 0.688-0.888, Soils=8","No",,,,,,,"22.6","A5","12.4","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.26","Q2",,,,,,"0.863272239450271","2.04007208140754E-03"
"758","pyrimidinol","GS-27550",,,,,,,,,,,,,,,,,,,"0.7","Q2",,,"6.03E-03","V3",,"126","A4","126","A5",,,"18.4","A5",,,,,"EU dossier Lab studies DT50 range 124-131 days, field values 7.5-29.3 days",,,,,"0.11","5.7","0.69","A5","EU dossier Kf range 0.02-0.18 mL/g, Kfoc range 4.1-6.7, 1/n range 0.36-0.86, Soils=4",,,,,"Stable","A5",,,,"87","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.11","Q2",,,,,,"4.10322730261882","0.564743827344137"
"2481","pyridine sulfonamide",,,,,,,,,,,,,,,,,,,,,,,,,,,"124","A3","124","A3",,,,,,,,,"EU dossier Lab studies DT50 range 93-154 days, DT90 range 310-607 days, soils=2, unreliable data","0.87","94.3","A5","EU dossier Kd range 0.60-1.44 mL/g, Koc range 41-240 mL/g, soils=8","0.56","65.9","0.845","A5","EU dossier Kf range 0.41-0.97 mL/g, Kfoc range 23.7-161.7 mL/g, 1/n range 0.8-0.93, soils=4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.56599257091254","2.69596163647922"
"2482","N-demethyl-spinetoram-J",,,,,,,,,,,,,,,,,,,,,,,,,,,"123","A5","123","A5","567","A5","53.4","A5","177.2","A5",,,"EU dossier Lab studies DT50 range 19.6-330 days, DT90 range 106-907 days, soils=5; Field studies DT50 range 20.5-98.9 days, DT90 range 68.2-32.8 days, soils=4","43.3","3200","A5","EU dossier Kd range 8-86 mL/g, Koc range 1631-5369, soils=10","38.4","2397","0.907","A5","EU dossier Kf range 28-60 mL/g, Kfoc range 1257-3733 mL/g, 1/n range 0.866-0.937, soils=7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0716490642605","0.02218562482356"
"2483","N-demethyl-N-nitroso-spinetoram-J",,,,,,,,,,,,,,,,,,,,,,,,,,,"219","A5","219","A5","492","A5",,,,,,,"EU dossier Lab studies DT50 range 77.5-219 days, DT90 range 257-727 days, soils=2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"3153","1,1-dimethylurea",,,,,,,,,,,,,,,,,,,,,,,,,,,"177.6","A5","177.6","A5",,,,,,,,,"EU 2018 dossier for ziram",,,,,,"2.47",,"A3 QSAR estimate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.11442244828043","94.646108606888"
"3155","dichloronitromethane",,"17150","A5",,,,,,,,,,,,,,,,,,,"467000","A5",,,,"0.71","A5",,,"0.71","A5",,,,,"0.71","A5 geometric mean of lab studies, aerobic dark conditions","EU 2017 dossier lab studies DT50 range 0.3-1.9 days, DT90 range 1.1-6.8 days, Soils=4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"3157","2,3,7,8-tetrahydroiimidazo(2.1-b:1',2'-e)(1,3,5)thiadizine-5-thione",,,,,,,,,,,,,,,,,,,,,,,,,,,"0.8","A5","0.8","A5","38.5","A5",,,,,"0.8","A5 geometric mean of nomalised lab studies","EU 2017 metiram dossier Lab studies DT50 (normalised) range 0.2-6.0 days, DT90 range 0.5-113 days, Soils=3",,,,,"4.31","259","0.83","A5","EU 2017 metiram dossier Kf range 1.58-9.0 mL/g, Kfoc range 191-457 mL/g, 1/n range 0.79-0.88, Soils=4","None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.153767140502772","2.6111418346049E-04"
