ID,Active,Reference,Taxonomic classification,Substance source,Substance production,Target Pests,Uses,Target Host,Product 1,Manufacturer 1,Product 2,Manufacturer 2,Product 3,Manufacturer 3,Known to used in the following countries,Farming system suitability
"824","1-(4,6-dimethoxypyrimidine-2-yl)-2,4-diketo-7-trifluoro-methyl-1,2,3,4-tetrahydropyridol(2,3-d)pyrimidine","IN-JV460",,,,,,,,,,,,,,
"825","4-amino-3,5-dichloro-6-fluoro-2-pyridinol",,,,,,,,,,,,,,,
"826","4-amino-3,5-dichloro-6-fluoro-2-pirydynil-2-methoxypyridine",,,,,,,,,,,,,,,
"827","trifluoroethanoic acid",,,,,,,,,,,,,,,
"828","3-trifluoromethylbenzoic acid","RE-54488",,,,,,,,,,,,,,
"829","phthalimide",,,,,,,,,,,,,,,
"830","phthalic acid",,,,,,,,,,,,,,,
"831","phthalamic acid",,,,,,,,,,,,,,,
"832","3-chloroallyl alcohol",,,,,,,,,,,,,,,
"833","4-amino-2-(3-(4,6-dimethoxypyrimidin-2-yl)ureidosulfonyl)-N, N-dimethylbenzamide","AE-F130619",,,,,,,,,,,,,,
"834","4-amino-2-chloropyridine",,,,,,,,,,,,,,,
"835","3-formamidophenyl methylcarbamate",,,,,,,,,,,,,,,
"836","N-(3-hydroxyphenol)-N-N-dimethylformamidine",,,,,,,,,,,,,,,
"837","3-hydroxyformanilide",,,,,,,,,,,,,,,
"838","3-aminophenyl N methylcarbamate",,,,,,,,,,,,,,,
"839","2-butanesulfonic acid",,,,,,,,,,,,,,,
"840","3-methyl-phosphinico-propionic acid","AE-F061517",,,,,,,,,,,,,,
"841","2-methylphosphinico-acetic acid","AE-F064619",,,,,,,,,,,,,,
"842","aminomethylphosphonic acid",,,,,,,,,,,,,,,
"843","4-(3-chloro-5-trifluoromethyl-2-pyridyloxyphenol)",,,,,,,,,,,,,,,
"844","3-chloro-5-trifluoromethylpyridin-2-ol",,,,,,,,,,,,,,,
"845","3-chloro-1-methyl-5-(trifluoromethyl)-2(1H)-pyridinone",,,,,,,,,,,,,,,
"846","heptachlor epoxide","ENT 25584",,,,,,,,,,,,,,
"847","5-(4-chlorophenyl)-N-(4-oxocyclohexyl)-4-methyl-2-oxothiazolidine-3-carboxamide","PT-1-9",,,,,,,,,,,,,,
"896","5-amino-N-(2,6-dichloro-3-methylphenyl)-1H-1,2,4-triazole-3-sulfonamide",,,,,,,,,,,,,,,
"897","diketo-metribuzin","BCS-AG59919",,,,,,,,,,,,,,
"898","desaminodiketo-metribuzin",,,,,,,,,,,,,,,
"899","methyl 2-(aminosulfonyl)benzoate","IN-D5803",,,,,,,,,,,,,,
"900","2-(aminosulfonyl) benzoic acid","IN-D5119",,,,,,,,,,,,,,
"901","phenylurea","IN-B5685",,,,,,,,,,,,,,
"902","1,2-benzisothiazol-3(2H)-one,1,1-dioxide","IN-00581",,,,,,,,,,,,,,
"905","molinate sulfoxide",,,,,,,,,,,,,,,
"906","3-(ethylsulfonyl)-2-pyridinesulfonamide","IN-E9260",,,,,,,,,,,,,,
"907","5-hydroxy pyrimidine amine","IN-J290",,,,,,,,,,,,,,
"908",,"RP-017272",,,,,,,,,,,,,,
"909",,"RP-025496",,,,,,,,,,,,,,
"910","oxadixyl acid",,,,,,,,,,,,,,,
"911","2-ethylsulfinyl ethane sulfonic acid",,,,,,,,,,,,,,,
"912","N-((4-chlorophenyl)-methyl)-N-cyclopentylamide",,,,,,,,,,,,,,,
"913","3-chloro-4-methylaniline",,,,,,,,,,,,,,,
"914","3,3-dichloro-4,4-dimethylazobenzene",,,,,,,,,,,,,,,
"915","methyl-3-hydroxylphenylcarbamate",,,,,,,,,,,,,,,
"916","3-aminophenol",,,,,,,,,,,,,,,
"917","6-(3-trifluoromethylphenoxy)-2-pyridine carboxylic acid","CL-153815",,,,,,,,,,,,,,
"918","8-(2,6-diethyl-4-methylphenyl)-tetrahydropyrazolo-1,2-d","NOA 407854",,,,,,,,,,,,,,
"919","8-(2,6-diethyl-4-methyl-phehyl)-8-hydroxy-tetrahydropyrazolo(1,2-d)(1,4,5)oxadiazepine-7,9-dione ","NOA 447204",,,,,,,,,,,,,,
"920","2-dimethylamino-5,6-dimethylpyrimidin-4-ol","R31805",,,,,,,,,,,,,,
"921","5,6-dimethyl-2-(methylamino)pyrimidin-4-ol","R34865",,,,,,,,,,,,,,
"922","5,6-dimethyl-2-(methylformamido)pyrimidin-4-yl dimethylcarbamate","R34885",,,,,,,,,,,,,,
"923","3,4-dichloroaniline",,,,,,,,,,,,,,,
"925","hydroxypropazine",,,,,,,,,,,,,,,
"926","N-phenylcarbamic acid",,,,,,,,,,,,,,,
"927","aniline",,,,,,,,,,,,,,,
"928","3-(2-((1H-1,2,4-triazol-1-yl)methyl)-2-(2,4-dichlorophenyl)-1,3-dioxolan-4-yl)propan-1-ol","CGA 118245",,,,,,,,,,,,,,
"929","propylene urea",,,,,,,,,,,,,,,
"930","methyl 2-sulfamoylbenzoate","STJ 4934",,,,,,,,,,,,,,
"931","4-hydroxy-1,2-benzisothiazol-3(2H)-one 1,1-dioxide","KTS 9357",,,,,,,,,,,,,,
"932","2-(3,5-dichlorophenyl)-4,4-dimethyl-5-methylene-oxazoline","RH-24644",,,,,,,,,,,,,,
"933","N-(1,1-dimethylacetonyl)-3,5-dichlorobenzamide","RH-24580",,,,,,,,,,,,,,
"934","2-(3,3,3-trifluoropropyl)phenyl sulfonamide","CGA 159902",,,,,,,,,,,,,,
"936","O-desmethyl triasulfuron","CGA 300406",,,,,,,,,,,,,,
"937","2-(1-chlorocyclopropyl)-1-(2-chlorophenyl)-3-(4,5-dihydro-5-methylthio-1,2,4-triazolyl-1)-propan-2-ol",,,,,,,,,,,,,,,
"938","alpha-(1-chlorocyclopropyl)-alpha-o(2-chlorophenyl)methyl-1H-1,2,4-triazole-1-ethanol",,,,,,,,,,,,,,,
"939","4-chloroprothiofos",,,,,,,,,,,,,,,
"941","5-hydroxy-6-methyl-4-(((E)-pyridin-3-ylmethylene)amino)-4,5-dihydro-1,2,4-triazin-3(2H)-one","CGA 359009",,,,,,,,,,,,,,
"942",,"BAS 500-6",,,,,,,,,,,,,,
"943","methyl N-(2((1-(4-chlorophenyl)-1H-pyrazol-3-yl)oxymethyl) phenyl)carbamate","BAS 500-7",,,,,,,,,,,,,,
"945","2-amino-4,6-dimethylpyrimidine","AE-F1312593",,,,,,,,,,,,,,
"946","2-hydroxyquinoxaline",,,,,,,,,,,,,,,
"947","3-chloro-8-quinoline-carboxylic acid",,,,,,,,,,,,,,,
"948","3-hydroxy-quinoxyfen","3-OH DE-795",,,,,,,,,,,,,,
"949","pentachloroaniline",,,,,,,,,,,,,,,
"950","pentachlorobenzene",,,,,,,,,,,,,,,
"952","benzaldehyde",,,,,,,,,,,,,,,
"953","benzyl alcohol",,,,,,,,,,,,,,,
"1005","chlorobenzoxazolone","AE-F054014",,,,,,,,,,,,,,
"1006","fenoxaprop","HOE 053022",,,,,,,,,,,,,,
"1007","methyl 2-(dimethylamino)-N-(((methylamino)carbonyl)oxy)-2-oxoethanimidothioate","IN-A2213",,,,,,,,,,,,,,
"1008","N,N’-dimethyloxamic acid","IN-D2708",,,,,,,,,,,,,,
"1009","2-chloro-4-methylsulfonyl-benzoic acid",,,,,,,,,,,,,,,
"1012","N-(2-ethoxyethyl)-N-(2-methyl-1-phenyl-1-propenyl)-2-sulfoacetamide",,,,,,,,,,,,,,,
"1013","sulfosulfuron sulfonamide","MON 52729",,,,,,,,,,,,,,
"1015","2-propoxy-3-propylquinazolin-4(3H)-one","IN-MM671",,,,,,,,,,,,,,
"1030","oxanilic acid",,,,,,,,,,,,,,,
"1031","metolachlor ethane sulfonic acid","CGA 354743",,,,,,,,,,,,,,
"1035","2-((aminosulfonyl)methyl)benzoic acid","IN-D1R84",,,,,,,,,,,,,,
"1037","2-(2,4-dichlorophenyl)-3-(1H-1,2,4-triazol-1-yl)propanoic acid","M14360-acid",,,,,,,,,,,,,,
"1038","2-(2,4-dichlorophenyl)-3-(1H-1,2,4-triazol-1-yl)propan-1-ol","M14360-alcohol",,,,,,,,,,,,,,
"1039","1H-1,2,4-triazol-1-ylacetic acid","CGA 142856",,,,,,,,,,,,,,
"1040","6-fluoro-2-hydroxybenzothiazole","KIF-230-M1",,,,,,,,,,,,,,
"1041","1-(6-fluoro-2-benzothiazol-2-yl)ethanol","KIF-230-M3",,,,,,,,,,,,,,
"1042","1-(6-fluoro-2-benzothiazolyl)ethylamine","KIF-230-M5",,,,,,,,,,,,,,
"1043","1-(2-(2-chloro-4-(4-chloro-phenoxy)-phenyl)-2-1H-(1,2,4)triazol-yl)-ethanol","CGA 205375",,,,,,,,,,,,,,
"1044","N-(2,6-dimethylphenyl)-N-(2-methoxyethyl)oxalamic acid","CGA 50266",,,,,,,,,,,,,,
"1045","((2,6-dimethylphenyl)-2-methoxyethyl)carbamoyl)methanesulfonic acid sodium salt","CGA 354742",,,,,,,,,,,,,,
"1047","3-(2,4-dichlorophenyl)-4-hydroxy-1-oxaspiro(4.5)dec-3-en-2-one",,,,,,,,,,,,,,,
"1048","3-(2,4-dichlorophenyl)-3-hydroxy-1-oxaspiro(4.5)decane-2,4-dione",,,,,,,,,,,,,,,
"1049","3-(2,4-dichlorophenyl)-3,4-dihydroxy-1-oxaspiro(4.5)decan-2-one",,,,,,,,,,,,,,,
"1050","2,4-dichlorobenzoic acid",,,,,,,,,,,,,,,
"1051","4-hydroxy-3-mesityl-1-oxaspiro(4.4)non-3-en-2-one",,,,,,,,,,,,,,,
"1052","4-(8-hydroxy-6-oxo-5-oxaspiro[3.4]oct-7-en-7-yl)-3,5-dimethylbenzoic acid",,,,,,,,,,,,,,,
"1053","(2,5-dichloro-4-(1,1,2,3,3,3-hexafluoro-propoxy)-phenyl)-urea","CGA 238277",,,,,,,,,,,,,,
"1054","2,5-dichloro-4-(1,1,2,3,3,3-hexafluoro-propoxy)-phenylamine","CGA 224443",,,,,,,,,,,,,,
"1055","dichloroetridiazole",,,,,,,,,,,,,,,
"1056","etridiazole acid",,,,,,,,,,,,,,,
"1057","anilino acid",,,,,,,,,,,,,,,
"1058","haloaniline",,,,,,,,,,,,,,,
"1059","7-chloro-3,8-quinoline dicarboxylic acid","BH 518-2",,,,,,,,,,,,,,
"1060","3-hydroxymethyl-7-chloro-quinoline-8-carboxylic acid","BH 518-5",,,,,,,,,,,,,,
"1072","1-ethyl 5,6-di-2,4(1H,3H)pyridenedione","IN-U3204",,,,,,,,,,,,,,
"1073","2-cyano-2-methoxyiminoacetic acid","IN-W3595",,,,,,,,,,,,,,
"1075","tert-butylphenoxycyclohexanol",,,,,,,,,,,,,,,
"1076","N-(2,6-dichloro-3-methylphenyl)-5-methoxy-7-hydroxy-1,2,4-triazolo(1,5-alpha)pyrimidine-2-sulfonamide",,,,,,,,,,,,,,,
"1077","prosulfocarb sulfoxide",,,,,,,,,,,,,,,
"1078","methyl saccharine","IN-W6725",,,,,,,,,,,,,,
"1079","N,N-dimethyl-6-(2,2,2-trifluoroethoxy)-1,3,5-triazine-2,4-diamine","IN-D8526",,,,,,,,,,,,,,
"1080","N-desmethyl triazine amine","IN-E7710",,,,,,,,,,,,,,
"1081","N,N-bis-desmethyl triazine amine","IN-M7222",,,,,,,,,,,,,,
"1082","TDL",,,,,,,,,,,,,,,
"1083","desmethyl fluometuron","CGA 41686",,,,,,,,,,,,,,
"1084","m-trifluoromethylaniline","CGA 72903",,,,,,,,,,,,,,
"1088","disulfoton sulfoxide",,,,,,,,,,,,,,,
"1089","phorate sulfoxide",,,,,,,,,,,,,,,
"1091","2-chlorobenzenesulfonamide ","IN-A4097",,,,,,,,,,,,,,
"1092","2-amino-4-methoxy-6-methyl-1,3,5-triazine","IN-A4098",,,,,,,,,,,,,,
"1093","quizalofop","CGA 287422",,,,,,,,,,,,,,
"1094","hydroxy quizalofop","CGA 294972",,,,,,,,,,,,,,
"1095","7-chloro-3-(1H-imidazol-1-yl)-1,2,4-benzotriazine",,,,,,,,,,,,,,,
"1099","O-chlorobenzamide","OBAM",,,,,,,,,,,,,,
"1102","2-amido-3,5,6-trichlo-4-cyanobenzenesulphonic acid","R417888",,,,,,,,,,,,,,
"1103","3-carbamyl-2,4,5-trichlorobenzoic acid","R611965",,,,,,,,,,,,,,
"1104","5-amino-4-chloro-3(2H)-pyridazinone",,,,,,,,,,,,,,,
"1105","5-amino-4-chloro-2-methyl-3(2H)-pyridazinone",,,,,,,,,,,,,,,
"1107","2,4-dinitro-6-octylphenol",,,,,,,,,,,,,,,
"1121","bis(4-fluorophenyl)methyl silanol","IN-F7321",,,,,,,,,,,,,,
"1122","3-cyclohexyl-6,7-dihydro-7-1H-cyclopentapyrimidine-2,4,5-(3H)trione","IN-KE121",,,,,,,,,,,,,,
"1123","3-cyclohexyl-6,7-dihydroxy-7-1H-cyclopentapyrimidine-2,4,5(3H)trione","IN-KF313",,,,,,,,,,,,,,
"1125","2-(3,5-dichlorophenyl-carbamoyl)-1,2-dimethyl(cyclopropanecarboxylic acid)",,,,,,,,,,,,,,,
"1134","proxsulam-5-OH",,,,,,,,,,,,,,,
"1141","2,3,3-trichloro-2-propene sulfonic acid",,,,,,,,,,,,,,,
"1164","1-carboxy-1-methylethyl 2-chloro-5-(3,6-dihydro-3-methyl-2,6-dioxo-4-(trifluoromethyl)-1(2H)-pyrimidinyl)benzoate","CGA 293731",,,,,,,,,,,,,,
"1165",,"CGA 293730",,,,,,,,,,,,,,
"1173","2-(2-naphthoxy)propionic acid",,,,,,,,,,,,,,,
"1220","chlorophenyl urea","275-352-I",,,,,,,,,,,,,,
"1221","2-chloro-4-(methylsulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]-benzoic acid","AE-0456148",,,,,,,,,,,,,,
"1222","2-chloro-4(methylsulfonyl)-3-((2,2,2-trifluoroethoxy)methyl)phenol","AE-0968400",,,,,,,,,,,,,,
"1223","2-(1',2'-dioxotetradecyl)benzoic acid","AKM-18",,,,,,,,,,,,,,
"1224","N-(4-(1-carboxy-1-methylethyl)-benzyl)-4-chloro-3-ethyl-1-methyl-5-pyrazolecarboximide","CL-810721",,,,,,,,,,,,,,
"1230","2-(1-carbamoyl-1,2-dimethyl-propylcarbamoyl)-quinoline-3-carboxylic acid","CL-266066",,,,,,,,,,,,,,
"1237","2-methylsulfonyl-4-trifluoromethylbenzoic acid","AE-B197555",,,,,,,,,,,,,,
"1251","3-(4-hydroxy-6-methoxypyrimidin-2-yl)-1-(N-methyl-N-methylsulfonyl-aminosulfonyl)-urea","AE-F101630",,,,,,,,,,,,,,
"1238","2-(((4-hydroxy-6-methoxypyrimidin-2-yl)carbamoyl)sulfamoyl)-N,N-dimethylpyridine-3-carboxamide",,,,,,,,,,,,,,,
"1239","2-((carbamimidoylcarbamoyl)sulfamoyl)-N,N-dimethylpyridine-3-carboxamide",,,,,,,,,,,,,,,
"1240","N,N-dimethyl-2-sulfamoylpyridine-3-carboxamide",,,,,,,,,,,,,,,
"1182","2-methyl-2-(4-(2-methyl-3-piperidin-1-yl-propyl)-phenyl)-propionic acid","CGA 289267",,,,,,,,,,,,,,
"1242","1H-benzimidazole-2-carboxylic acid",,,,,,,,,,,,,,,
"1243","2-chlorobenzoic acid","AE-C500233",,,,,,,,,,,,,,
"1247","t-oxanilic acid","MON 52766",,,,,,,,,,,,,,
"1248","t-sulfonic acid",,,,,,,,,,,,,,,
"1249","t-sulfinylacetic acid","MON 52709",,,,,,,,,,,,,,
"1252","3-(5,6-hydroxy-4-methoxypyrimidin-2-yl)-1-(N-methyl-N-methylsulfonyl-aminosulfonyl)-urea","AE-F128870",,,,,,,,,,,,,,
"1257","fenpropimorph carboxylic acid","CGA 294975",,,,,,,,,,,,,,
"1258","cis-2,6-dimethylmorpholine",,,,,,,,,,,,,,,
"1259","(E)-4-((1,3-dimethyl-5-phenocypyrazole-4-yl)methyleneaminooxy-methyl)benzoic acid",,,,,,,,,,,,,,,
"1260","5-((3-chloro-5-(trifluoromethyl)-2-pyridyl)amino)-alpha,alpha,alpha-trifluoro-4,6-dinitro-o-cresol",,,,,,,,,,,,,,,
"1261","3-(2,4-dichlorophenyl)-6-fluoro-quinazolin-2,4(3H)-dione","AE C596912",,,,,,,,,,,,,,
"1263","(2RS)-1-(4-chlorophenyl)-4,4-dimethyl-2-(1H-1,2,4-triazol-1-yl)pentan-3-one","CGA 149907",,,,,,,,,,,,,,
"1264","4-(N'-(3,5-dimethylbenzoyl_-N-(1,1-dimethylethyl)hydrazinocarbonyl)benzoic acid","RH-2651",,,,,,,,,,,,,,
"1265","4-(N'-(3,5-dimethylbenzoyl-N-(1,1-dimethylethyl)hydrazinocarbonyl)phenyl acetic acid","RH-2703",,,,,,,,,,,,,,
"1266","N-(1,1-dimethyethyl)-N-(4-acetylebenzoyl)-3,5-dimethylbenzohydrazine","RH-6595",,,,,,,,,,,,,,
"1267","3-(2,4,6-trimethylphenyl)pentanedioic acid","R173642",,,,,,,,,,,,,,
"1268","4-(2-(1-ethoxyimino)propyl)-3-hydroxy-2-cyclohexene-1-one-5-yl)-3-5-dimethyl benzoic acid","R223068",,,,,,,,,,,,,,
"1300","1,1-(2,2-dichloroethylidene)bis(4-methoxybenzene)",,,,,,,,,,,,,,,
"1301","allophanate",,,,,,,,,,,,,,,
"1302","3-chloroaniline",,,,,,,,,,,,,,,
"1342","2,6-dinitro-4-(trifluoromethyl)phenol",,,,,,,,,,,,,,,
"1343","alpha-naphthoxy propionic acid",,,,,,,,,,,,,,,
"1378","2-(2,4-dichloro-phenyl)-3-(1,2,4)triazol-1-yl-propionic acid","CGA 179944",,,,,,,,,,,,,,
"1404","3-chloroacrylic acid",,,,,,,,,,,,,,,
"1407","N-methyl(6-chloro-3-pyridyl)methylamine",,,,,,,,,,,,,,,
"1408","3-(5-hydroxy-4,6-dimethoxypyrimidin-2-yl)-1-(N-methyl-N-methylsulfonyl-aminosulfonyl)-urea","AE 1569309",,,,,,,,,,,,,,
"1409","methyl-N-malonyl-N-2,6-xylyl-DL-alaninate",,,,,,,,,,,,,,,
"1410","N-malonyl-N-2,6-xylyl-DL-alanine",,,,,,,,,,,,,,,
"1411","de-ethylated bupirimate",,,,,,,,,,,,,,,
"1412","2,3.dihydro-2,2-diemethyl-7-benzofuranol","NIA 10272 ",,,,,,,,,,,,,,
"1413","dibutylamine",,,,,,,,,,,,,,,
"1414","2-chloro-5-(4-(difluoromethyl)-3-methyl-5-oxo-4,5-dihydro-1H-1,2,4-triazol-1-yl)-4-fluorobenzoic acid",,,,,,,,,,,,,,,
"1415","clethodim oxazole sulfone",,,,,,,,,,,,,,,
"1417","N-(2-chlorothiazol-5-ylmethyl)-N’-nitroguanidine",,,,,,,,,,,,,,,
"1418","N-methyl-N-nitroguanidine",,,,,,,,,,,,,,,
"1419","1-(N-hydroxymethylcarbonyl-N-methoxycarbonylguanyl)-3-(2-ethoxyphenyl-sulfonyl)urea",,,,,,,,,,,,,,,
"1420","3-carbamoyl-2-cyano-3-(2,2-difluoro-benzo(1,3)dioxol-4-yl)-oxirane-2-carbocyclic acid","CGA 339833",,,,,,,,,,,,,,
"1421","(2,2-difluoro-benzo(1,3)dioxol-4-carbocyclic acid","CGA 192155",,,,,,,,,,,,,,
"1423","4-chloromethyl-3-hydroxy-1-(3-(trifluoromethyl)phenyl)-2-pyrrolidinona","R406639",,,,,,,,,,,,,,
"1424","1-(m-trifluoromethylphenyl)-4-chloromethyl-3-pyrrolin-2-one","R42819",,,,,,,,,,,,,,
"1425","1-((6-chloro-3-pyridinyl)methyl)N-nitro-1H-imidazol-2-amine",,,,,,,,,,,,,,,
"1426","N-(3-(1-ethyl-1-methyl-2-oxypropyl)isoxazol-5-yl)-2,6-dimethoxybenzamide",,,,,,,,,,,,,,,
"1428","acetaldehyde",,,,,,,,,,,,,,,
"1469","4-(dimethylamino)-3-methylphenol ",,,,,,,,,,,,,,,
"1470","N-(4-chlorophenoxy)-phenyl-N-methylurea",,,,,,,,,,,,,,,
"1427","2-(4-chlorophenyl)-2-hydroxy-N-(2-(3-methoxy-4-prop-2-ynyloxy-phenyl)-ethyl)-acetamide","CGA 380778",,,,,,,,,,,,,,
"1429","paraldehyde",,,,,,,,,,,,,,,
"1430","(2-hydroxy-3,3-dimethyl-2-(1,2,4)triazol-1-ylmethyl-cyclopentyl)-(4-chlorophenyl)-methanone","CL 382389",,,,,,,,,,,,,,
"1431","carbimid",,,,,,,,,,,,,,,
"1432","2-((carbamoylcarbamoyl)sulfamoyl)-N,N-dimethylpyridine-3-carboxamide",,,,,,,,,,,,,,,
"1433","2-ethylsulfonyl ethane sulfonic acid",,,,,,,,,,,,,,,
"1434","3-aminotoluene",,,,,,,,,,,,,,,
"1436","3-ethyl-4-(methoxyamino)-2,5-dioxoimidazolidine-4-carboxamide","IN-KQ960",,,,,,,,,,,,,,
"1437","3-ethyl-4-(methoxyamino)-2,5-dioxoimidazolidine-4-carbonitrile","IN-JX915",,,,,,,,,,,,,,
"1438","1,3-dimethyl-5-phenoxypyrzole-4-carbonitrile",,,,,,,,,,,,,,,
"1439","N-formyl-N'-propyl-N'-2(2,4,6-trichlorophenoxy)ethylurea","BTS 44596",,,,,,,,,,,,,,
"1440","6-methyl-4-((6-oxo-1,6-dihydropyridine-3-ylmethylene)-amino)4,5-dihydro-2H-(1,2,4)triazin-3,5-dione","CGA 363430",,,,,,,,,,,,,,
"1442","desmethyl dichlorvos",,,,,,,,,,,,,,,
"1443","dichlorivinylphosphate",,,,,,,,,,,,,,,
"1444","thiacloprid-amide","KK02254",,,,,,,,,,,,,,
"1445","thiacloprid sulfonic acid","BCS-AB54351",,,,,,,,,,,,,,
"1446","3,5-dichloro-2,4-difluoroaniline",,,,,,,,,,,,,,,
"1451","4-(4-hydroxyphenoxy)phenyl (RS)-2-(2-pyridyloxy)propyl ether",,,,,,,,,,,,,,,
"1452","(RS)-2-(2-pyridyloxy)propionic acid",,,,,,,,,,,,,,,
"1471","N-(4-chlorophenoxy)-phenylurea",,,,,,,,,,,,,,,
"1472","4-chlorophenoxy-aniline",,,,,,,,,,,,,,,
"1482","1-methyl-4-(2-methyl-2H-tetrazol-5-yl)-1H-pyrazole-5-sulfonamide","IN-A8342",,,,,,,,,,,,,,
"1483","N-(((aminoiminomethyl)amino)carbonyl)-1-methyl-4-(2-methyl-2H-tetrazol-5-yl)-1H-pyrazole-5-sulphonamide","IN-KQ962",,,,,,,,,,,,,,
"1489","N-(2,6-difluorobenzoyl)-4-tert-butyl-2-ethoxybenzamine",,,,,,,,,,,,,,,
"1490","2 amino-2-(4-tert-butyl-2-ethoxyphenyl)ethyl 2',6'-difluorobenzoate hydrochloride",,,,,,,,,,,,,,,
"1491","2 amino-2-(4-tert-butyl-2-ethoxyphenyl)ethanol",,,,,,,,,,,,,,,
"1492","4-(4-tert-butyl-2-ethoxyphenyl)-2-(2,6-difluorophenyl)oxazole",,,,,,,,,,,,,,,
"1494","desethyl-terbuthylazine","GS26379",,,,,,,,,,,,,,
"1495","hydroxy-terbuthylazine","GS 23158",,,,,,,,,,,,,,
"1505","metolachlor oxanilic acid","CGA 51202",,,,,,,,,,,,,,
"1506","alachlor ethane sulphonate",,,,,,,,,,,,,,,
"1507","alachlor oxanilic acid",,,,,,,,,,,,,,,
"1509","2,4-dimethylformanilide","BTS 27919",,,,,,,,,,,,,,
"1512","3,5-dimethyl-4-(hydroxymethyl)phenyl N-methylcarbamate",,,,,,,,,,,,,,,
"1513","2,5-dimethyl-3-(hydroxymethyl)phenyl N-methylcarbamate",,,,,,,,,,,,,,,
"1514","4,5-dimethyl-3-(hydroxymethyl)phenyl N-methylcarbamate",,,,,,,,,,,,,,,
"1515","4-hydroxy-2-isopropyl-6-methylpyrimidine","CGA 14128",,,,,,,,,,,,,,
"1516","6-cyclopropyl-2-phenylamino-pyrimidin-4-yl)-methanol","CGA 232449",,,,,,,,,,,,,,
"1517","3-(4-hydroxycyclohexyl)-6-(dimethylamino)-1-methyl-1,3,5-triazine-2,4(1H,3H)dione",,,,,,,,,,,,,,,
"1518","3-cyclohexyl-6-(methylamino)-1-methyl-1,3,5-triazine-2,4-(1H,3H)-dione",,,,,,,,,,,,,,,
"1519","3-(4-hydroxycyclohexyl)-6-(methylamino)-1-methyl-1,3,5-triazine-2,4(1H,3H)-dione",,,,,,,,,,,,,,,
"1521","methylamine",,,,,,,,,,,,,,,
"1522","3-nitro-N2,N2-dipropyl-5-(trifluoromethyl)benzene-1,2-diamine","TR-4",,,,,,,,,,,,,,
"1528","6-hydroxy-4-trifluoromethylnicotinic acid",,,,,,,,,,,,,,,
"1536","desmethyl norflurazon",,,,,,,,,,,,,,,
"1538","2-hydroxyatrazine","G-34048",,,,,,,,,,,,,,
"924","dihydroxy quinoxaline","CGA 294970",,,,,,,,,,,,,,
"1024","(1RS,3RS)-3-((Z)-2-chloro-3,3,3-trifluoroprop-1-enyl)-2,2-dimethylcyclopropanecarboxylic acid",,,,,,,,,,,,,,,
"1571","methyl-2-butyl sulfone",,,,,,,,,,,,,,,
"1584","2,3-difluoro-6-trifluoromethylbenzamidine","149-F1",,,,,,,,,,,,,,
"1585","2,3-difluoro-6-(trifluoromethyl)benzamide","149-F6",,,,,,,,,,,,,,
"1600","benzoic acid, 2-((4,6-dimethoxy-2-pyrimidinyl)oxy)6-hydroxy, sodium salt",,,,,,,,,,,,,,,
"1601","benzoic acid, 2-(4,6-dimethoxy-2-pyrimidinyl)oxy)-6-((4-hydroxy-6-methoxy-2-pyrimidinyl)oxy), sodium salt","KIB 8651",,,,,,,,,,,,,,
"1602","2,4-dihydroxy-6-methoxypyrimidine",,,,,,,,,,,,,,,
"1603","hydrazide-hydrazone","AE C593600",,,,,,,,,,,,,,
"1604","cis-des-hexafluoroisopropyl acrinathrin","DP-A",,,,,,,,,,,,,,
"1605","(2Z)-3-(3-((2-amino-2-oxo-1-(3-phenoxyphenyl)ethoxy)carbonyl)-2,2-dimethylcyclopropyl)prop-2-enoic acid",,,,,,,,,,,,,,,
"1606","N-(4-(2-chloro-4-(trifluoromethyl)phenoxy)-2-fluorophenyl) urea","CL 932338",,,,,,,,,,,,,,
"1607","4-(2-cyanophenoxy)-6-hydroxypyrimidine","R401553",,,,,,,,,,,,,,
"1608","2-(6-(2-cyanophenoxy)pyrimidin-4-yloxy)benzoic acid","R402173",,,,,,,,,,,,,,
"1609","despropionyl prohexadione","KI5376",,,,,,,,,,,,,,
"1610","2-tert-butyl-5-(4-(1-carboxy-1-methylethyl) benzylthio)4-chloropyridazin-3 (2H)-one",,,,,,,,,,,,,,,
"1611","2-tert-butyl-4-chloropyridazin-3(2H)-one-5-sulfonic acid",,,,,,,,,,,,,,,
"1616","1-amino-4,6-dimethoxypyrimidine","IN-J0290",,,,,,,,,,,,,,
"1617","N-((4-hydroxy-6-methoxypyrimidin-2-yl)amino)carbonyl)-1-methyl-4-(2-methyl-2H-tetrazol-5-yl)-1H-pyrazole-5-sulfonamide","IN-JJ999",,,,,,,,,,,,,,
"1631","2-(2,2-difluoroethoxy)-N-(5-hydroxy-8-methoxy(1,2,4)triazolo(1,5-c)pyrimidin-2-yl)-6-(trifluoromethyl)benzenesulfonamide",,,,,,,,,,,,,,,
"1632","3-(((2-(2,2-difluoroethoxy)-6-(trifluoromethyl)phenyl)sulfonyl)amino)-1H-1,2,4-triazole-5-carboxylic acid",,,,,,,,,,,,,,,
"1646","6-iodo-3-propylquinazoline-2,4(1H,3H)-dione","IN-MM986",,,,,,,,,,,,,,
"1647","3-propylquinazoline-2,4(1H,3H)-dione","IN-MM991",,,,,,,,,,,,,,
"1717","2,3,5,6-tetrachloroterephthalic acid",,,,,,,,,,,,,,,
